Hillenbrand Inc Price to Free Cash Flow Ratio Historical Data,Hillenbrand Inc Price to Free Cash Flow Ratio Historical Data,Hillenbrand Inc Price to Free Cash Flow Ratio Historical Data,Hillenbrand Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.22,,8.84
2024-12-31,30.78,$2.96,10.38
2024-09-30,27.6,$2.75,10.05
2024-06-30,39.41,$0.54,73.43
2024-03-31,49.26,$1.14,43.33
2023-12-31,46.65,$1.75,26.67
2023-09-30,41.04,$1.98,20.77
2023-06-30,49.49,$2.08,23.78
2023-03-31,45.68,$0.67,68.25
2022-12-31,40.81,$-0.09,0.0
2022-09-30,34.96,$0.37,94.53
2022-06-30,38.78,$-1.54,0.0
2022-03-31,41.6,$1.08,38.53
2021-12-31,48.73,$3.81,12.8
2021-09-30,39.8,$4.44,8.97
2021-06-30,40.92,$8.64,4.74
2021-03-31,44.08,$7.30,6.04
2020-12-31,36.62,$5.07,7.22
2020-09-30,25.94,$4.63,5.6
2020-06-30,24.58,$2.41,10.18
2020-03-31,17.22,$2.40,7.16
2019-12-31,29.64,$2.29,12.96
2019-09-30,27.3,$2.43,11.25
2019-06-30,34.75,$2.85,12.19
2019-03-31,36.28,$3.33,10.91
2018-12-31,32.97,$3.70,8.92
2018-09-30,45.23,$3.53,12.82
2018-06-30,40.61,$4.36,9.31
2018-03-31,39.36,$4.20,9.38
2017-12-31,38.16,$4.76,8.02
2017-09-30,33.01,$3.59,9.19
2017-06-30,30.5,$2.13,14.33
2017-03-31,30.12,$2.39,12.58
2016-12-31,32.04,$2.14,14.96
2016-09-30,26.29,$3.43,7.66
2016-06-30,24.8,$3.06,8.11
2016-03-31,24.56,$2.46,9.99
2015-12-31,24.13,$2.40,10.06
2015-09-30,21.03,$1.20,17.5
2015-06-30,24.63,$1.57,15.73
2015-03-31,24.61,$1.43,17.27
2014-12-31,27.32,$1.19,22.9
2014-09-30,24.31,$2.56,9.48
2014-06-30,25.51,$2.93,8.71
2014-03-31,25.13,$2.54,9.91
2013-12-31,22.72,$1.96,11.6
2013-09-30,20.99,$1.57,13.37
2013-06-30,18.05,$0.87,20.69
2013-03-31,19.09,$1.20,15.89
2012-12-31,16.94,$1.76,9.64
2012-09-30,13.5,$1.88,7.18
2012-06-30,13.51,$1.92,7.03
2012-03-31,16.69,$2.81,5.93
2011-12-31,16.1,$2.68,6.01
2011-09-30,13.15,$2.70,4.86
2011-06-30,16.74,$2.23,7.49
2011-03-31,15.09,$1.04,14.47
2010-12-31,14.47,$1.50,9.66
2010-09-30,14.81,$1.65,9.0
2010-06-30,14.6,$2.29,6.37
2010-03-31,14.88,$2.40,6.21
2009-12-31,12.64,$2.38,5.32
