TriMas Price to Free Cash Flow Ratio Historical Data,TriMas Price to Free Cash Flow Ratio Historical Data,TriMas Price to Free Cash Flow Ratio Historical Data,TriMas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.0,,80.05
2024-12-31,24.59,$0.31,78.74
2024-09-30,25.49,$0.38,67.35
2024-06-30,25.48,$0.55,45.99
2024-03-31,26.6,$0.53,50.25
2023-12-31,25.17,$0.81,30.88
2023-09-30,24.56,$0.83,29.75
2023-06-30,27.23,$0.52,52.4
2023-03-31,27.55,$0.65,42.49
2022-12-31,27.39,$0.63,43.73
2022-09-30,24.72,$1.30,18.96
2022-06-30,27.26,$1.64,16.64
2022-03-31,31.55,$1.77,17.82
2021-12-31,36.33,$2.06,17.64
2021-09-30,31.74,$1.69,18.76
2021-06-30,29.75,$4.25,6.99
2021-03-31,29.74,$2.15,13.81
2020-12-31,31.06,$1.99,15.57
2020-09-30,22.36,$1.49,14.97
2020-06-30,23.49,$-1.07,0.0
2020-03-31,22.66,$1.44,15.74
2019-12-31,30.81,$1.01,30.58
2019-09-30,30.06,$1.76,17.08
2019-06-30,30.38,$1.80,16.84
2019-03-31,29.65,$1.57,18.92
2018-12-31,26.77,$2.29,11.67
2018-09-30,29.82,$2.28,13.05
2018-06-30,28.84,$2.00,14.38
2018-03-31,25.75,$1.92,13.44
2017-12-31,26.24,$1.88,13.97
2017-09-30,26.48,$1.62,16.38
2017-06-30,20.45,$1.40,14.63
2017-03-31,20.35,$1.53,13.27
2016-12-31,23.05,$1.09,21.2
2016-09-30,18.25,$1.36,13.39
2016-06-30,17.65,$1.33,13.25
2016-03-31,17.18,$1.18,14.62
2015-12-31,18.29,$0.75,24.36
2015-09-30,16.04,$-7.34,0.0
2015-06-30,23.26,$-6.59,0.0
2015-03-31,24.2,$-6.10,0.0
2014-12-31,24.59,$-6.22,0.0
2014-09-30,19.12,$2.28,8.38
2014-06-30,29.96,$1.94,15.47
2014-03-31,26.09,$1.95,13.39
2013-12-31,31.35,$1.40,22.33
2013-09-30,29.32,$1.40,20.99
2013-06-30,29.3,$1.17,25.12
2013-03-31,25.52,$0.86,29.54
2012-12-31,22.01,$0.71,30.82
2012-09-30,18.95,$0.94,20.16
2012-06-30,15.8,$1.54,10.23
2012-03-31,17.59,$1.34,13.14
2011-12-31,14.11,$1.82,7.76
2011-09-30,11.67,$0.58,20.25
2011-06-30,19.45,$0.44,43.78
2011-03-31,16.9,$1.35,12.48
2010-12-31,16.08,$2.12,7.58
2010-09-30,11.67,$2.27,5.14
2010-06-30,8.89,$2.47,3.6
2010-03-31,5.1,$1.90,2.69
2009-12-31,5.32,$2.05,2.6
