Organogenesis Price to Free Cash Flow Ratio Historical Data,Organogenesis Price to Free Cash Flow Ratio Historical Data,Organogenesis Price to Free Cash Flow Ratio Historical Data,Organogenesis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.88,,153.94
2024-12-31,3.2,$0.03,100.95
2024-09-30,2.86,$0.03,96.95
2024-06-30,2.8,$0.06,43.82
2024-03-31,2.84,$0.05,54.72
2023-12-31,4.09,$0.05,82.79
2023-09-30,3.18,$-0.03,0.0
2023-06-30,3.32,$-0.15,0.0
2023-03-31,2.13,$-0.12,0.0
2022-12-31,2.69,$-0.07,0.0
2022-09-30,3.24,$0.05,66.8
2022-06-30,4.88,$0.17,28.81
2022-03-31,7.62,$0.24,32.26
2021-12-31,9.24,$0.23,40.16
2021-09-30,14.24,$0.30,47.2
2021-06-30,16.62,$0.26,64.64
2021-03-31,18.22,$0.05,368.83
2020-12-31,7.53,$-0.11,0.0
2020-09-30,3.84,$-0.38,0.0
2020-06-30,3.84,$-0.49,0.0
2020-03-31,3.23,$-0.52,0.0
2019-12-31,4.81,$-0.43,0.0
