BioCardia Price to Free Cash Flow Ratio Historical Data,BioCardia Price to Free Cash Flow Ratio Historical Data,BioCardia Price to Free Cash Flow Ratio Historical Data,BioCardia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.47,,0.0
2024-09-30,3.12,$-3.35,0.0
2024-06-30,2.97,$-4.37,0.0
2024-03-31,6.11,$-6.07,0.0
2023-12-31,9.96,$-7.07,0.0
2023-09-30,6.45,$-8.23,0.0
2023-06-30,40.05,$-8.44,0.0
2023-03-31,29.25,$-8.32,0.0
2022-12-31,31.35,$-8.99,0.0
2022-09-30,29.1,$-9.14,0.0
2022-06-30,21.75,$-9.83,0.0
2022-03-31,31.05,$-10.15,0.0
2021-12-31,29.1,$-9.29,0.0
2021-09-30,47.1,$-14.25,0.0
2021-06-30,59.55,$-12.19,0.0
2021-03-31,65.1,$-13.51,0.0
2020-12-31,51.9,$-18.36,0.0
2020-09-30,34.05,$-20.39,0.0
2020-06-30,36.0,$-35.87,0.0
