Pathward Financial Price to Free Cash Flow Ratio Historical Data,Pathward Financial Price to Free Cash Flow Ratio Historical Data,Pathward Financial Price to Free Cash Flow Ratio Historical Data,Pathward Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,73.23,,5.4
2024-12-31,73.58,$13.56,5.43
2024-09-30,65.97,$17.59,3.75
2024-06-30,56.49,$16.51,3.42
2024-03-31,50.36,$12.67,3.98
2023-12-31,52.76,$10.30,5.12
2023-09-30,45.9,$10.94,4.2
2023-06-30,46.12,$6.12,7.53
2023-03-31,41.23,$5.71,7.22
2022-12-31,42.74,$5.23,8.18
2022-09-30,32.68,$8.92,3.66
2022-06-30,38.28,$13.57,2.82
2022-03-31,54.31,$15.65,3.47
2021-12-31,58.94,$17.87,3.3
2021-09-30,51.8,$17.91,2.89
2021-06-30,49.92,$19.07,2.62
2021-03-31,44.64,$17.76,2.51
2020-12-31,35.98,$14.60,2.47
2020-09-30,18.89,$13.07,1.45
2020-06-30,17.81,$8.65,2.06
2020-03-31,21.23,$9.05,2.35
2019-12-31,35.63,$7.12,5.0
2019-09-30,31.78,$4.67,6.81
2019-06-30,27.29,$4.61,5.92
2019-03-31,19.11,$3.77,5.07
2018-12-31,18.78,$5.11,3.68
2018-09-30,26.62,$4.19,6.36
2018-06-30,31.32,$4.99,6.27
2018-03-31,35.07,$5.15,6.81
2017-12-31,29.72,$4.63,6.42
2017-09-30,25.12,$4.06,6.19
2017-06-30,28.45,$3.80,7.48
2017-03-31,28.25,$3.66,7.72
2016-12-31,32.8,$2.74,11.99
2016-09-30,19.29,$2.81,6.87
2016-06-30,16.19,$2.04,7.93
2016-03-31,14.45,$1.81,7.99
2015-12-31,14.51,$1.39,10.41
2015-09-30,13.16,$2.27,5.79
2015-06-30,13.48,$1.88,7.18
2015-03-31,12.44,$2.83,4.39
2014-12-31,10.93,$1.80,6.06
2014-09-30,10.96,$1.33,8.26
2014-06-30,12.39,$1.68,7.38
2014-03-31,13.84,$1.75,7.93
2013-12-31,12.41,$-0.74,0.0
2013-09-30,11.65,$-1.67,0.0
2013-06-30,8.03,$3.91,2.06
2013-03-31,8.06,$3.90,2.07
2012-12-31,6.9,$6.24,1.11
2012-09-30,7.29,$7.27,1.0
2012-06-30,5.92,$1.95,3.04
2012-03-31,6.24,$1.96,3.19
2011-12-31,4.92,$2.30,2.14
2011-09-30,5.53,$2.15,2.57
2011-06-30,5.54,$1.85,3.0
2011-03-31,4.75,$1.72,2.77
2010-12-31,3.94,$3.89,1.01
2010-09-30,9.07,$3.69,2.46
2010-06-30,8.47,$3.04,2.79
2010-03-31,7.1,$2.35,3.02
2009-12-31,5.84,$2.37,2.47
