Mvb Financial Price to Free Cash Flow Ratio Historical Data,Mvb Financial Price to Free Cash Flow Ratio Historical Data,Mvb Financial Price to Free Cash Flow Ratio Historical Data,Mvb Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.52,,14.78
2024-12-31,20.7,$1.19,17.47
2024-09-30,19.21,$2.02,9.51
2024-06-30,18.35,$2.11,8.7
2024-03-31,21.76,$2.79,7.8
2023-12-31,21.83,$4.41,4.95
2023-09-30,21.67,$3.33,6.5
2023-06-30,20.08,$3.70,5.43
2023-03-31,19.48,$4.59,4.24
2022-12-31,20.65,$0.45,45.48
2022-09-30,25.91,$2.03,12.79
2022-06-30,28.81,$1.59,18.11
2022-03-31,38.26,$-2.53,0.0
2021-12-31,38.11,$2.70,14.11
2021-09-30,39.17,$2.46,15.95
2021-06-30,38.88,$19.66,1.98
2021-03-31,30.72,$16.78,1.83
2020-12-31,20.55,$9.56,2.15
2020-09-30,14.41,$12.66,1.14
2020-06-30,11.92,$-8.40,0.0
2020-03-31,11.36,$-8.26,0.0
2019-12-31,22.09,$-0.78,0.0
2019-09-30,17.54,$-5.97,0.0
2019-06-30,14.94,$0.50,29.76
2019-03-31,13.4,$0.18,75.04
2018-12-31,15.82,$0.37,42.74
2018-09-30,15.8,$3.64,4.34
