Viper Energy Price to Free Cash Flow Ratio Historical Data,Viper Energy Price to Free Cash Flow Ratio Historical Data,Viper Energy Price to Free Cash Flow Ratio Historical Data,Viper Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.37,,6.03
2024-12-31,49.07,$7.53,6.52
2024-09-30,45.11,$7.52,6.0
2024-06-30,37.53,$8.89,4.22
2024-03-31,38.46,$8.74,4.4
2023-12-31,31.38,$8.56,3.67
2023-09-30,27.36,$10.51,2.6
2023-06-30,26.01,$9.91,2.62
2023-03-31,26.81,$9.45,2.84
2022-12-31,29.95,$10.72,2.79
2022-09-30,26.61,$4.49,5.93
2022-06-30,24.11,$2.69,8.95
2022-03-31,26.1,$1.72,15.2
2021-12-31,18.51,$0.38,48.8
2021-09-30,18.67,$4.35,4.29
2021-06-30,15.81,$3.75,4.22
2021-03-31,12.06,$2.87,4.19
2020-12-31,9.54,$2.50,3.81
2020-09-30,6.11,$7.47,0.82
2020-06-30,8.39,$2.95,2.84
2020-03-31,5.31,$3.46,1.53
2019-12-31,19.36,$3.83,5.05
2019-09-30,21.31,$-2.79,0.0
2019-06-30,23.37,$6.89,3.39
2019-03-31,24.85,$3.76,6.61
2018-12-31,19.23,$3.35,5.73
2018-09-30,30.56,$0.85,36.09
2018-06-30,22.8,$-3.25,0.0
2018-03-31,17.85,$-1.81,0.0
2017-12-31,16.08,$-1.96,0.0
2017-09-30,12.64,$-1.35,0.0
2017-06-30,10.44,$-2.65,0.0
2017-03-31,11.76,$-1.58,0.0
2016-12-31,10.31,$-1.65,0.0
2016-09-30,10.26,$0.77,13.31
2016-06-30,11.71,$0.80,14.67
2016-03-31,10.16,$0.82,12.43
2015-12-31,8.56,$0.80,10.69
2015-09-30,8.66,$0.86,10.09
2015-06-30,11.74,$0.86,13.67
2015-03-31,10.78,$0.78,13.85
