DarioHealth Price to Free Cash Flow Ratio Historical Data,DarioHealth Price to Free Cash Flow Ratio Historical Data,DarioHealth Price to Free Cash Flow Ratio Historical Data,DarioHealth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.71,,0.0
2024-12-31,0.79,$-0.79,0.0
2024-09-30,1.12,$-1.06,0.0
2024-06-30,1.19,$-1.19,0.0
2024-03-31,1.53,$-1.30,0.0
2023-12-31,1.72,$-1.09,0.0
2023-09-30,3.28,$-1.11,0.0
2023-06-30,4.01,$-1.25,0.0
2023-03-31,4.12,$-1.29,0.0
2022-12-31,4.28,$-2.04,0.0
2022-09-30,4.63,$-2.66,0.0
2022-06-30,6.14,$-2.90,0.0
2022-03-31,5.84,$-3.22,0.0
2021-12-31,12.97,$-3.05,0.0
2021-09-30,13.65,$-3.64,0.0
2021-06-30,21.36,$-2.70,0.0
2021-03-31,19.26,$-2.27,0.0
2020-12-31,14.29,$-2.99,0.0
2020-09-30,16.78,$-3.38,0.0
2020-06-30,6.35,$-4.24,0.0
2020-03-31,6.79,$-6.27,0.0
2019-12-31,6.56,$-6.98,0.0
2019-09-30,6.08,$-8.09,0.0
2019-06-30,9.3,$-9.49,0.0
2019-03-31,14.74,$-8.33,0.0
2018-12-31,15.52,$-9.86,0.0
2018-09-30,19.4,$-12.67,0.0
2018-06-30,25.6,$-15.03,0.0
2018-03-31,30.8,$-17.61,0.0
2017-12-31,32.04,$-22.46,0.0
2017-09-30,36.8,$-27.69,0.0
2017-06-30,43.6,$-33.14,0.0
2017-03-31,60.2,$-32.16,0.0
2016-12-31,65.0,$-35.31,0.0
