Paysign Price to Free Cash Flow Ratio Historical Data,Paysign Price to Free Cash Flow Ratio Historical Data,Paysign Price to Free Cash Flow Ratio Historical Data,Paysign Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.36,,5.55
2024-09-30,3.67,$0.42,8.64
2024-06-30,4.31,$0.87,4.96
2024-03-31,3.66,$0.46,7.94
2023-12-31,2.8,$0.38,7.37
2023-09-30,1.95,$-0.14,0.0
2023-06-30,2.45,$0.06,38.28
2023-03-31,3.63,$0.35,10.43
2022-12-31,2.58,$0.40,6.38
2022-09-30,2.37,$0.50,4.71
2022-06-30,1.52,$0.21,7.23
2022-03-31,1.97,$0.15,13.2
2021-12-31,1.6,$0.25,6.47
2021-09-30,2.7,$0.29,9.45
2021-06-30,3.18,$0.49,6.49
2021-03-31,4.37,$0.23,19.17
2020-12-31,4.64,$0.21,21.74
2020-09-30,5.68,$0.30,18.74
2020-06-30,9.71,$0.00,0.0
2020-03-31,5.16,$0.08,67.19
2019-12-31,10.15,$0.27,37.52
2019-09-30,10.1,$0.31,32.32
2019-06-30,13.37,$0.62,21.65
