Chemung Financial Corp Price to Free Cash Flow Ratio Historical Data,Chemung Financial Corp Price to Free Cash Flow Ratio Historical Data,Chemung Financial Corp Price to Free Cash Flow Ratio Historical Data,Chemung Financial Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.37,,8.84
2024-12-31,48.81,$5.58,8.74
2024-09-30,48.02,$5.46,8.79
2024-06-30,47.7,$5.61,8.5
2024-03-31,41.9,$5.94,7.05
2023-12-31,48.76,$6.49,7.51
2023-09-30,38.54,$6.18,6.24
2023-06-30,37.09,$7.32,5.07
2023-03-31,39.76,$8.35,4.76
2022-12-31,43.64,$7.45,5.86
2022-09-30,39.55,$8.81,4.49
2022-06-30,44.08,$7.69,5.73
2022-03-31,43.47,$7.08,6.14
2021-12-31,42.96,$7.54,5.7
2021-09-30,41.6,$7.51,5.54
2021-06-30,40.42,$6.71,6.02
2021-03-31,37.87,$6.39,5.92
2020-12-31,30.55,$5.92,5.16
2020-09-30,25.78,$4.96,5.2
2020-06-30,24.17,$5.47,4.42
2020-03-31,28.94,$5.09,5.69
2019-12-31,36.92,$5.34,6.92
2019-09-30,36.28,$6.03,6.01
2019-06-30,41.51,$6.30,6.59
2019-03-31,40.07,$5.86,6.84
2018-12-31,35.08,$5.73,6.12
2018-09-30,35.81,$5.61,6.38
2018-06-30,42.02,$5.18,8.12
2018-03-31,38.77,$4.77,8.12
2017-12-31,39.91,$4.70,8.49
2017-09-30,38.9,$3.62,10.74
2017-06-30,33.54,$3.77,8.89
2017-03-31,32.2,$4.79,6.72
2016-12-31,29.42,$4.62,6.37
2016-09-30,23.3,$5.19,4.49
2016-06-30,23.37,$4.65,5.02
2016-03-31,20.81,$3.38,6.15
2015-12-31,21.51,$3.03,7.09
2015-09-30,21.71,$3.32,6.54
2015-06-30,20.32,$3.10,6.55
2015-03-31,21.51,$3.70,5.81
2014-12-31,20.82,$3.46,6.02
2014-09-30,20.95,$3.58,5.85
2014-06-30,21.83,$3.29,6.63
2014-03-31,19.87,$4.06,4.9
2013-12-31,24.8,$4.17,5.95
2013-09-30,24.93,$4.31,5.78
2013-06-30,23.93,$4.05,5.91
2013-03-31,24.04,$4.44,5.42
2012-12-31,21.01,$4.67,4.5
2012-09-30,16.55,$2.35,7.03
2012-06-30,17.57,$2.80,6.27
2012-03-31,17.33,$2.22,7.8
2011-12-31,15.34,$1.50,10.26
2011-09-30,15.37,$2.34,6.57
2011-06-30,15.15,$1.50,10.08
2011-03-31,15.34,$0.18,83.25
2010-12-31,14.57,0,0.0
2010-09-30,14.08,0,0.0
2010-06-30,12.81,0,0.0
2010-03-31,12.49,0,0.0
2009-12-31,12.62,0,0.0
