Ponce Financial Price to Free Cash Flow Ratio Historical Data,Ponce Financial Price to Free Cash Flow Ratio Historical Data,Ponce Financial Price to Free Cash Flow Ratio Historical Data,Ponce Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.9,,64.73
2024-12-31,13.0,$0.20,65.23
2024-09-30,11.69,$-0.84,0.0
2024-06-30,9.14,$0.14,66.57
2024-03-31,8.9,$-0.00,0.0
2023-12-31,9.76,$0.27,36.62
2023-09-30,7.82,$0.13,62.51
2023-06-30,8.69,$-0.72,0.0
2023-03-31,7.85,$0.12,65.91
2022-12-31,9.32,$0.41,22.72
2022-09-30,9.16,$1.98,4.62
2022-06-30,9.24,$2.44,3.78
2022-03-31,10.38,$2.36,4.41
2021-12-31,14.5,$3.10,4.68
2021-09-30,14.41,$0.19,77.89
2021-06-30,13.66,$0.57,23.82
2021-03-31,11.11,$-0.25,0.0
2020-12-31,10.51,$-1.48,0.0
2020-09-30,8.82,$0.01,604.11
2020-06-30,10.18,$-0.18,0.0
2020-03-31,10.27,$0.03,311.21
2019-12-31,14.7,$0.07,208.22
2019-09-30,14.06,$0.04,392.74
2019-06-30,14.29,$0.02,710.95
2019-03-31,13.95,$0.13,109.41
2018-12-31,12.74,$0.12,106.88
2018-09-30,15.11,$0.19,81.24
