Tenaya Therapeutics Price to Free Cash Flow Ratio Historical Data,Tenaya Therapeutics Price to Free Cash Flow Ratio Historical Data,Tenaya Therapeutics Price to Free Cash Flow Ratio Historical Data,Tenaya Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.66,,0.0
2024-12-31,1.43,$-1.08,0.0
2024-09-30,1.93,$-1.15,0.0
2024-06-30,3.1,$-1.24,0.0
2024-03-31,5.23,$-1.34,0.0
2023-12-31,3.24,$-1.40,0.0
2023-09-30,2.55,$-1.43,0.0
2023-06-30,5.87,$-1.88,0.0
2023-03-31,2.85,$-2.31,0.0
2022-12-31,2.01,$-2.79,0.0
2022-09-30,2.9,$-5.18,0.0
2022-06-30,5.63,$-6.54,0.0
