Northern Trust Price to Free Cash Flow Ratio Historical Data,Northern Trust Price to Free Cash Flow Ratio Historical Data,Northern Trust Price to Free Cash Flow Ratio Historical Data,Northern Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,98.87,,0.0
2024-12-31,102.5,$-2.91,0.0
2024-09-30,89.41,$23.61,3.79
2024-06-30,82.68,$20.89,3.96
2024-03-31,86.76,$5.78,15.0
2023-12-31,81.58,$12.09,6.75
2023-09-30,66.55,$18.49,3.6
2023-06-30,70.32,$13.78,5.1
2023-03-31,82.75,$6.54,12.65
2022-12-31,82.38,$10.84,7.6
2022-09-30,78.97,$0.87,91.19
2022-06-30,88.38,$7.44,11.87
2022-03-31,105.98,$9.21,11.5
2021-12-31,108.13,$6.03,17.92
2021-09-30,96.9,$3.31,29.29
2021-06-30,103.28,$0.63,163.24
2021-03-31,93.34,$21.68,4.31
2020-12-31,82.14,$8.43,9.75
2020-09-30,68.24,$8.58,7.95
2020-06-30,68.83,$11.70,5.88
2020-03-31,64.91,$-2.99,0.0
2019-12-31,90.38,$11.29,8.01
2019-09-30,78.89,$6.00,13.16
2019-06-30,75.54,$9.80,7.71
2019-03-31,75.37,$10.87,6.94
2018-12-31,69.22,$7.44,9.31
2018-09-30,84.04,$9.25,9.09
2018-06-30,84.22,$5.16,16.31
2018-03-31,84.08,$1.62,51.86
2017-12-31,81.13,$7.09,11.44
2017-09-30,74.34,$6.93,10.73
2017-06-30,78.24,$9.64,8.12
2017-03-31,69.38,$10.78,6.43
2016-12-31,71.06,$6.10,11.64
2016-09-30,54.0,$8.27,6.53
2016-06-30,52.35,$-1.25,0.0
2016-03-31,51.24,$4.10,12.51
2015-12-31,56.36,$7.41,7.6
2015-09-30,53.02,$0.28,188.95
2015-06-30,59.18,$3.56,16.61
2015-03-31,53.65,$3.37,15.9
2014-12-31,51.67,$3.59,14.38
2014-09-30,51.9,$4.29,12.1
2014-06-30,48.75,$14.90,3.27
2014-03-31,49.51,$4.05,12.22
2013-12-31,46.51,$3.11,14.97
2013-09-30,40.65,$3.87,10.51
2013-06-30,43.04,$-4.54,0.0
2013-03-31,40.33,$1.23,32.72
2012-12-31,36.88,$3.08,11.99
2012-09-30,33.91,$8.75,3.87
2012-06-30,33.41,$4.73,7.07
2012-03-31,34.2,$7.62,4.49
2011-12-31,28.41,$4.79,5.93
2011-09-30,24.88,$-1.47,0.0
2011-06-30,32.45,$2.07,15.67
2011-03-31,35.62,$3.09,11.54
2010-12-31,38.68,$2.89,13.41
2010-09-30,33.49,$4.87,6.88
2010-06-30,32.24,$5.69,5.67
2010-03-31,37.93,$2.03,18.71
2009-12-31,35.78,$3.73,9.59
