Cadence Bank Price to Free Cash Flow Ratio Historical Data,Cadence Bank Price to Free Cash Flow Ratio Historical Data,Cadence Bank Price to Free Cash Flow Ratio Historical Data,Cadence Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.13,,8.09
2024-09-30,31.63,$3.73,8.49
2024-06-30,27.87,$3.43,8.13
2024-03-31,28.31,$3.42,8.28
2023-12-31,28.62,$2.64,10.82
2023-09-30,20.37,$4.28,4.76
2023-06-30,18.65,$4.31,4.32
2023-03-31,19.49,$4.51,4.33
2022-12-31,22.91,$4.67,4.9
2022-09-30,23.39,$3.72,6.29
2022-06-30,21.43,$3.27,6.56
2022-03-31,26.46,$10.42,2.54
2021-12-31,26.74,$9.21,2.9
2021-09-30,26.55,$9.18,2.89
2021-06-30,25.08,$9.90,2.53
2021-03-31,28.57,$0.50,57.02
2020-12-31,24.01,$1.65,14.57
2020-09-30,16.84,$2.00,8.43
2020-06-30,19.59,$0.95,20.71
2020-03-31,16.16,$2.07,7.8
2019-12-31,26.57,$1.84,14.42
2019-09-30,24.9,$1.35,18.49
2019-06-30,24.27,$1.76,13.83
2019-03-31,23.45,$2.08,11.28
2018-12-31,21.6,$2.00,10.81
2018-09-30,26.85,$1.84,14.61
2018-06-30,26.92,$2.08,12.94
2018-03-31,25.88,$1.68,15.41
2017-12-31,25.48,$1.59,16.07
2017-09-30,25.86,$2.07,12.5
2017-06-30,24.61,$1.63,15.08
2017-03-31,24.4,$1.62,15.03
2016-12-31,25.05,$1.28,19.64
2016-09-30,18.72,$1.01,18.57
2016-06-30,18.31,$1.18,15.49
2016-03-31,17.19,$1.59,10.84
2015-12-31,19.35,$1.08,17.98
2015-09-30,19.18,$1.19,16.09
2015-06-30,20.78,$0.63,33.0
2015-03-31,18.73,$0.65,28.81
2014-12-31,18.16,$1.30,13.94
2014-09-30,16.25,$1.40,11.62
2014-06-30,19.82,$2.14,9.27
2014-03-31,20.14,$2.00,10.07
2013-12-31,20.51,$1.90,10.78
2013-09-30,16.05,$2.01,8.0
2013-06-30,14.21,$1.47,9.67
2013-03-31,13.08,$1.75,7.47
2012-12-31,11.66,$1.46,7.98
2012-09-30,11.81,$2.01,5.87
2012-06-30,11.63,$2.10,5.53
2012-03-31,10.78,$2.30,4.69
2011-12-31,8.81,$3.09,2.85
2011-09-30,7.01,$2.83,2.48
2011-06-30,9.9,$3.28,3.02
2011-03-31,12.32,$2.74,4.49
2010-12-31,12.63,$2.45,5.15
2010-09-30,11.07,$1.50,7.36
2010-06-30,13.74,$1.93,7.1
2010-03-31,15.92,$2.81,5.66
2009-12-31,17.62,$3.09,5.7
