Entero Therapeutics Price to Free Cash Flow Ratio Historical Data,Entero Therapeutics Price to Free Cash Flow Ratio Historical Data,Entero Therapeutics Price to Free Cash Flow Ratio Historical Data,Entero Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.51,,0.0
2024-09-30,0.34,$-15.16,0.0
2024-06-30,1.23,$9.44,0.13
2024-03-31,4.38,$-12.11,0.0
2023-12-31,4.2,$-36.80,0.0
2023-09-30,5.8,$796.76,0.01
2023-06-30,32.0,"$1,735.44",0.02
2023-03-31,53.6,"$1,490.62",0.04
2022-12-31,122.58,$-622.19,0.0
2022-09-30,207.2,"$-4,760.12",0.0
2022-06-30,840.0,"$-17,631.71",0.0
2022-03-31,4452.0,"$-17,362.93",0.0
2021-12-31,6069.0,"$-15,226.08",0.0
2021-09-30,11802.0,"$-11,910.59",0.0
2021-06-30,34440.0,$-5.21,0.0
2021-03-31,56279.99,$-4.79,0.0
2020-12-31,40740.0,$-3.92,0.0
2020-09-30,29862.0,$-2.07,0.0
2020-06-30,38056.2,$-0.40,0.0
2020-03-31,24360.0,$-0.53,0.0
2019-12-31,43680.0,$-0.63,0.0
2019-09-30,25200.0,$-0.71,0.0
2019-06-30,71399.99,$-0.73,0.0
2019-03-31,101639.99,$-0.69,0.0
2018-12-31,50819.99,$-0.72,0.0
2018-09-30,107939.99,$-0.71,0.0
2018-06-30,134819.99,$-0.66,0.0
2018-03-31,131879.99,$-0.74,0.0
2017-12-31,152766.58,$-0.68,0.0
2017-09-30,167579.98,$-1.12,0.0
