Avenue Therapeutics Price to Free Cash Flow Ratio Historical Data,Avenue Therapeutics Price to Free Cash Flow Ratio Historical Data,Avenue Therapeutics Price to Free Cash Flow Ratio Historical Data,Avenue Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-18,0.42,,0.0
2024-09-30,2.49,$-6.26,0.0
2024-06-30,3.5,$-11.33,0.0
2024-03-31,11.06,$-51.38,0.0
2023-12-31,12.08,$-67.09,0.0
2023-09-30,53.03,$-151.61,0.0
2023-06-30,87.75,$-174.09,0.0
2023-03-31,87.38,$-178.77,0.0
2022-12-31,87.0,$-261.39,0.0
2022-09-30,756.0,$-251.78,0.0
2022-06-30,302.96,$-259.79,0.0
2022-03-31,541.69,$-263.74,0.0
2021-12-31,1021.5,$-248.86,0.0
2021-09-30,1676.25,$-254.50,0.0
2021-06-30,2823.75,$-281.73,0.0
2021-03-31,6828.75,$-323.91,0.0
2020-12-31,6693.75,$-315.04,0.0
2020-09-30,12183.75,$-652.47,0.0
2020-06-30,12116.25,$-702.28,0.0
2020-03-31,10057.5,"$-1,506.16",0.0
2019-12-31,10800.0,"$-1,882.75",0.0
2019-09-30,6705.0,"$-1,610.30",0.0
2019-06-30,7087.5,"$-1,944.14",0.0
2019-03-31,5343.75,"$-1,701.05",0.0
2018-12-31,6075.0,"$-2,005.48",0.0
2018-09-30,3172.5,"$-2,728.04",0.0
2018-06-30,4027.5,"$-2,354.27",0.0
2018-03-31,5073.75,"$-1,916.77",0.0
