Centrus Energy Price to Free Cash Flow Ratio Historical Data,Centrus Energy Price to Free Cash Flow Ratio Historical Data,Centrus Energy Price to Free Cash Flow Ratio Historical Data,Centrus Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.28,,36.97
2024-12-31,66.61,$2.01,33.15
2024-09-30,54.85,$-0.36,0.0
2024-06-30,42.75,$0.15,284.24
2024-03-31,41.53,$1.38,30.12
2023-12-31,54.41,$0.48,112.46
2023-09-30,56.76,$3.14,18.1
2023-06-30,32.56,$6.08,5.35
2023-03-31,32.2,$1.54,20.85
2022-12-31,32.48,$1.33,24.46
2022-09-30,40.98,$1.07,38.39
2022-06-30,24.75,$-0.46,0.0
2022-03-31,33.7,$3.34,10.1
2021-12-31,49.91,$3.52,14.19
2021-09-30,38.66,$6.10,6.34
2021-06-30,25.38,$7.51,3.38
2021-03-31,23.72,$7.68,3.09
2020-12-31,23.13,$6.49,3.56
2020-09-30,8.37,$4.33,1.94
2020-06-30,10.04,$5.05,1.99
2020-03-31,5.07,$2.71,1.87
2019-12-31,6.88,$1.24,5.53
2019-09-30,3.65,$-2.29,0.0
2019-06-30,3.26,$-5.57,0.0
2019-03-31,2.79,$-5.69,0.0
2018-12-31,1.69,$-8.09,0.0
2018-09-30,2.69,$-0.47,0.0
2018-06-30,3.44,$-0.08,0.0
2018-03-31,3.55,$0.84,4.25
2017-12-31,4.01,$-1.31,0.0
2017-09-30,3.73,$0.57,6.59
2017-06-30,4.23,$1.27,3.34
2017-03-31,6.05,$2.08,2.91
2016-12-31,6.38,$3.98,1.6
2016-09-30,3.98,$0.01,0.0
2016-06-30,3.28,$-4.09,0.0
2016-03-31,4.51,$-5.14,0.0
2015-12-31,1.32,$1.13,1.16
2015-09-30,3.05,$10.87,0.28
2015-06-30,4.13,$26.68,0.15
2015-03-31,5.11,$34.92,0.15
2014-12-31,4.3,$-12.23,0.0
2014-09-30,10.21,$10.04,1.02
2014-06-30,3.03,$85.79,0.04
2014-03-31,4.02,$359.83,0.01
2013-12-31,6.62,$16.57,0.4
2013-09-30,10.52,$-106.14,0.0
2013-06-30,7.25,$-151.78,0.0
2013-03-31,9.25,$-181.54,0.0
2012-12-31,13.25,$308.46,0.04
2012-09-30,19.5,$225.93,0.09
2012-06-30,24.75,$-305.70,0.0
2012-03-31,26.5,$-120.74,0.0
2011-12-31,28.5,$-219.24,0.0
2011-09-30,40.25,$-128.16,0.0
2011-06-30,83.5,$65.40,1.28
2011-03-31,110.0,$-2.94,0.0
2010-12-31,150.5,$-228.61,0.0
2010-09-30,129.75,$-41.99,0.0
2010-06-30,119.0,$209.06,0.57
2010-03-31,144.25,$9.05,15.94
2009-12-31,96.25,$3.58,26.92
