Standard Lithium Price to Free Cash Flow Ratio Historical Data,Standard Lithium Price to Free Cash Flow Ratio Historical Data,Standard Lithium Price to Free Cash Flow Ratio Historical Data,Standard Lithium Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.31,,0.0
2024-09-30,1.61,$-0.23,0.0
2024-06-30,1.25,$-0.28,0.0
2024-03-31,1.18,$-0.40,0.0
2023-12-31,2.02,$-0.44,0.0
2023-09-30,2.83,$-0.39,0.0
2023-06-30,4.5,$-0.35,0.0
2023-03-31,3.8,$-0.24,0.0
2022-12-31,2.95,$-0.17,0.0
2022-09-30,4.33,$-0.15,0.0
2022-06-30,4.24,$-0.14,0.0
