Velocity Financial Price to Free Cash Flow Ratio Historical Data,Velocity Financial Price to Free Cash Flow Ratio Historical Data,Velocity Financial Price to Free Cash Flow Ratio Historical Data,Velocity Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.99,,9.55
2024-12-31,19.56,$1.99,9.84
2024-09-30,19.61,$1.53,12.79
2024-06-30,17.93,$1.90,9.44
2024-03-31,18.0,$2.81,6.41
2023-12-31,17.22,$2.04,8.43
2023-09-30,11.3,$2.48,4.55
2023-06-30,11.53,$2.65,4.35
2023-03-31,9.03,$1.31,6.91
2022-12-31,9.65,$2.08,4.65
2022-09-30,10.84,$1.39,7.81
2022-06-30,10.99,$1.89,5.82
2022-03-31,10.94,$2.05,5.33
2021-12-31,13.7,$1.97,6.96
2021-09-30,13.16,$3.10,4.24
2021-06-30,12.49,$2.49,5.02
2021-03-31,8.87,$3.33,2.66
2020-12-31,6.23,$3.03,2.06
