Bank Of Montreal Price to Free Cash Flow Ratio Historical Data,Bank Of Montreal Price to Free Cash Flow Ratio Historical Data,Bank Of Montreal Price to Free Cash Flow Ratio Historical Data,Bank Of Montreal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,97.9,,7.22
2025-01-31,99.04,$13.55,7.31
2024-10-31,91.12,$27.70,3.29
2024-07-31,82.93,$27.12,3.06
2024-04-30,86.66,$36.52,2.37
2024-01-31,90.28,$6.48,13.93
2023-10-31,71.59,$9.08,7.88
2023-07-31,86.81,$26.00,3.34
2023-04-30,83.25,$13.02,6.39
2023-01-31,91.82,$54.65,1.68
2022-10-31,83.12,$4.88,17.04
2022-07-31,88.94,$-3.75,0.0
2022-04-30,93.64,$-13.88,0.0
2022-01-31,98.98,$1.02,96.62
2021-10-31,94.03,$53.41,1.76
2021-07-31,84.98,$19.58,4.34
2021-04-30,80.42,$58.87,1.37
2021-01-31,62.77,$69.41,0.9
2020-10-31,49.68,$58.43,0.85
2020-07-31,45.11,$101.72,0.44
2020-04-30,41.36,$85.38,0.48
2020-01-31,61.03,$39.20,1.56
2019-10-31,58.63,$33.87,1.73
2019-07-31,58.66,$17.51,3.35
2019-04-30,61.28,$14.33,4.28
2019-01-31,56.26,$18.63,3.02
2018-10-31,56.86,$21.19,2.68
2018-07-31,59.73,$11.37,5.25
2018-04-30,56.68,$3.43,16.52
2018-01-31,60.86,$3.81,15.96
2017-10-31,56.13,$3.03,18.55
2017-07-31,55.09,$-3.70,0.0
2017-04-30,50.96,$-2.11,0.0
2017-01-31,53.9,$-4.38,0.0
2016-10-31,44.93,$-3.35,0.0
2016-07-31,44.84,$-8.07,0.0
2016-04-30,45.11,$-3.67,0.0
2016-01-31,36.67,$-0.15,0.0
2015-10-31,39.36,$2.63,14.94
2015-07-31,37.45,$0.76,49.5
2015-04-30,43.29,$-4.09,0.0
2015-01-31,37.73,$-5.02,0.0
2014-10-31,47.16,$-4.63,0.0
2014-07-31,47.98,$7.58,6.33
2014-04-30,43.94,$9.99,4.4
2014-01-31,38.54,$13.90,2.77
2013-10-31,43.5,$16.79,2.59
2013-07-31,38.38,$1.10,34.95
2013-04-30,38.3,$2.37,16.15
2013-01-31,38.16,$-5.13,0.0
2012-10-31,35.29,$14.72,2.4
2012-07-31,33.74,$38.85,0.87
2012-04-30,34.6,$39.02,0.89
2012-01-31,33.47,$44.06,0.76
2011-10-31,33.66,$-0.11,0.0
2011-07-31,35.34,$-4.82,0.0
2011-04-30,36.09,$1.32,27.31
2011-01-31,31.38,$-10.75,0.0
2010-10-31,31.84,$-11.97,0.0
2010-07-31,32.42,$-0.72,0.0
2010-04-30,32.55,$-8.83,0.0
2010-01-31,25.3,$0.55,46.07
2009-10-31,23.44,$19.53,1.2
