EMCORE Price to Free Cash Flow Ratio Historical Data,EMCORE Price to Free Cash Flow Ratio Historical Data,EMCORE Price to Free Cash Flow Ratio Historical Data,EMCORE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-28,3.1,,0.0
2024-12-31,3.0,$-0.39,0.0
2024-09-30,2.21,$-0.59,0.0
2024-06-30,1.18,$-3.51,0.0
2024-03-31,3.45,$-3.15,0.0
2023-12-31,4.89,$-5.55,0.0
2023-09-30,4.76,$-4.77,0.0
2023-06-30,7.53,$-4.20,0.0
2023-03-31,11.5,$-5.17,0.0
2022-12-31,9.63,$-0.40,0.0
2022-09-30,16.7,$0.31,54.31
2022-06-30,30.7,$2.60,11.81
2022-03-31,37.0,$4.21,8.79
2021-12-31,69.8,$2.92,23.87
2021-09-30,74.8,$2.04,36.59
2021-06-30,92.2,$1.29,71.58
2021-03-31,54.6,$0.90,60.4
2020-12-31,54.5,$4.54,12.01
2020-09-30,32.5,$2.40,13.54
2020-06-30,31.8,$0.38,84.75
2020-03-31,22.4,$-2.68,0.0
2019-12-31,30.4,$-8.94,0.0
2019-09-30,30.7,$-9.10,0.0
2019-06-30,32.9,$-8.21,0.0
2019-03-31,36.5,$-5.47,0.0
2018-12-31,42.0,$-2.52,0.0
2018-09-30,47.5,$-1.85,0.0
2018-06-30,50.5,$-0.27,0.0
2018-03-31,57.0,$-1.18,0.0
2017-12-31,64.5,$0.47,136.05
2017-09-30,82.0,$0.93,87.71
2017-06-30,106.5,$-0.62,0.0
2017-03-31,90.0,$-1.44,0.0
2016-12-31,87.0,$-6.07,0.0
2016-09-30,57.0,$-3.54,0.0
2016-06-30,45.9,$-3.45,0.0
2016-03-31,38.64,$-1.02,0.0
2015-12-31,47.37,$-1.27,0.0
2015-09-30,52.55,$-2.22,0.0
2015-06-30,46.52,$-2.59,0.0
2015-03-31,42.04,$-4.81,0.0
2014-12-31,40.95,$-2.01,0.0
2014-09-30,43.97,$-0.62,0.0
2014-06-30,31.84,$-2.43,0.0
2014-03-31,39.02,$-2.60,0.0
2013-12-31,39.56,$-5.77,0.0
2013-09-30,34.62,$-10.21,0.0
2013-06-30,27.82,$-12.21,0.0
2013-03-31,44.97,$-13.14,0.0
2012-12-31,33.23,$-15.98,0.0
2012-09-30,43.66,$-6.13,0.0
2012-06-30,34.15,$-5.13,0.0
2012-03-31,36.86,$-3.89,0.0
2011-12-31,26.65,$-0.78,0.0
2011-09-30,30.6,$-6.59,0.0
2011-06-30,84.69,$1.29,65.6
2011-03-31,79.44,$-0.07,0.0
2010-12-31,33.54,$3.24,10.36
2010-09-30,24.76,$0.97,25.63
2010-06-30,27.51,$-2.53,0.0
2010-03-31,37.4,$0.44,84.48
2009-12-31,33.07,$-16.21,0.0
