Korro Bio Price to Free Cash Flow Ratio Historical Data,Korro Bio Price to Free Cash Flow Ratio Historical Data,Korro Bio Price to Free Cash Flow Ratio Historical Data,Korro Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.9,,0.0
2024-12-31,38.07,$-8.74,0.0
2024-09-30,33.42,$127.81,0.26
2024-06-30,33.87,$91.68,0.37
2024-03-31,90.0,$25.39,3.54
2023-12-31,47.93,$-49.13,0.0
2023-09-30,18.5,$-354.44,0.0
2023-06-30,17.3,$-332.59,0.0
2023-03-31,25.15,$-283.53,0.0
2022-12-31,192.5,$-230.51,0.0
2022-09-30,89.5,$-86.81,0.0
2022-06-30,75.0,$-92.31,0.0
2022-03-31,106.0,$-101.75,0.0
2021-12-31,256.5,$-114.95,0.0
2021-09-30,353.0,$-119.67,0.0
2021-06-30,498.0,$-113.52,0.0
2021-03-31,475.0,$-102.80,0.0
2020-12-31,1763.0,$-80.39,0.0
2020-09-30,960.5,$142.36,6.75
