Fresh Del Monte Produce Price to Free Cash Flow Ratio Historical Data,Fresh Del Monte Produce Price to Free Cash Flow Ratio Historical Data,Fresh Del Monte Produce Price to Free Cash Flow Ratio Historical Data,Fresh Del Monte Produce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.93,,7.01
2024-12-31,33.21,$4.27,7.77
2024-09-30,29.32,$3.65,8.03
2024-06-30,21.49,$3.64,5.9
2024-03-31,25.22,$3.55,7.1
2023-12-31,25.3,$5.00,5.05
2023-09-30,24.7,$4.13,5.97
2023-06-30,24.39,$3.20,7.62
2023-03-31,28.35,$2.67,10.62
2022-12-31,24.54,$0.47,52.52
2022-09-30,21.66,$0.92,23.53
2022-06-30,27.38,$0.95,28.83
2022-03-31,23.88,$0.45,52.8
2021-12-31,25.29,$1.00,25.4
2021-09-30,29.37,$1.25,23.56
2021-06-30,29.83,$1.54,19.41
2021-03-31,25.9,$2.10,12.33
2020-12-31,21.7,$1.47,14.76
2020-09-30,20.57,$2.56,8.04
2020-06-30,22.05,$3.54,6.22
2020-03-31,24.68,$2.87,8.61
2019-12-31,31.16,$2.40,12.98
2019-09-30,30.31,$0.79,38.56
2019-06-30,23.89,$0.98,24.28
2019-03-31,23.96,$2.41,9.95
2018-12-31,25.06,$2.33,10.74
2018-09-30,29.9,$2.80,10.68
2018-06-30,39.16,$0.95,41.06
2018-03-31,39.64,$0.39,100.91
2017-12-31,41.63,$1.19,34.87
2017-09-30,39.58,$0.87,45.64
2017-06-30,44.18,$2.05,21.51
2017-03-31,51.26,$2.88,17.8
2016-12-31,52.34,$4.05,12.93
2016-09-30,51.59,$4.09,12.6
2016-06-30,46.76,$3.67,12.75
2016-03-31,36.05,$3.42,10.55
2015-12-31,33.22,$2.11,15.71
2015-09-30,33.66,$2.15,15.64
2015-06-30,32.83,$1.98,16.55
2015-03-31,32.93,$1.50,22.01
2014-12-31,28.29,$1.48,19.16
2014-09-30,26.8,$0.15,181.83
2014-06-30,25.65,$0.05,540.01
2014-03-31,22.97,$-0.48,0.0
2013-12-31,23.47,$-0.72,0.0
2013-09-30,24.5,$0.11,225.19
2013-06-30,22.92,$0.14,168.02
2013-03-31,22.07,$0.87,25.28
2012-12-31,21.45,$1.77,12.14
2012-09-30,20.76,$1.87,11.09
2012-06-30,18.96,$1.53,12.42
2012-03-31,18.37,$1.72,10.71
2011-12-31,20.03,$2.05,9.79
2011-09-30,18.51,$2.19,8.46
2011-06-30,21.19,$3.53,6.0
2011-03-31,20.7,$2.92,7.08
2010-12-31,19.74,$2.35,8.41
2010-09-30,17.13,$3.17,5.41
2010-06-30,15.98,$2.45,6.53
2010-03-31,15.99,$2.66,6.01
2009-12-31,17.45,$2.99,5.83
