Hoth Therapeutics Price to Free Cash Flow Ratio Historical Data,Hoth Therapeutics Price to Free Cash Flow Ratio Historical Data,Hoth Therapeutics Price to Free Cash Flow Ratio Historical Data,Hoth Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.07,,0.0
2024-09-30,0.88,$-1.65,0.0
2024-06-30,0.91,$-1.83,0.0
2024-03-31,1.52,$-1.95,0.0
2023-12-31,1.44,$-2.48,0.0
2023-09-30,1.52,$-4.07,0.0
2023-06-30,3.0,$-5.38,0.0
2023-03-31,2.06,$-6.46,0.0
2022-12-31,7.8,$-7.76,0.0
2022-09-30,8.7,$-10.21,0.0
2022-06-30,10.48,$-11.26,0.0
2022-03-31,17.3,$-11.92,0.0
2021-12-31,16.5,$-13.54,0.0
2021-09-30,29.75,$-10.78,0.0
2021-06-30,40.0,$-10.10,0.0
2021-03-31,49.25,$-12.39,0.0
2020-12-31,59.25,$-12.40,0.0
2020-09-30,49.25,$-14.97,0.0
2020-06-30,64.5,$-16.87,0.0
2020-03-31,76.5,$-14.63,0.0
2019-12-31,154.75,$-13.49,0.0
