Enhabit Price to Free Cash Flow Ratio Historical Data,Enhabit Price to Free Cash Flow Ratio Historical Data,Enhabit Price to Free Cash Flow Ratio Historical Data,Enhabit Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.26,,9.81
2024-12-31,7.81,$0.94,8.27
2024-09-30,7.9,$1.10,7.2
2024-06-30,8.92,$0.63,14.07
2024-03-31,11.65,$0.63,18.54
2023-12-31,10.35,$0.90,11.5
2023-09-30,11.25,$0.89,12.7
2023-06-30,11.5,$2.22,5.18
