Wabash National Price to Free Cash Flow Ratio Historical Data,Wabash National Price to Free Cash Flow Ratio Historical Data,Wabash National Price to Free Cash Flow Ratio Historical Data,Wabash National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.36,,10.17
2024-12-31,17.13,$1.12,15.34
2024-09-30,19.11,$1.85,10.34
2024-06-30,21.66,$1.80,12.01
2024-03-31,29.62,$3.05,9.71
2023-12-31,25.26,$4.62,5.47
2023-09-30,20.74,$3.25,6.39
2023-06-30,25.1,$2.00,12.53
2023-03-31,23.99,$3.02,7.94
2022-12-31,21.97,$1.38,15.93
2022-09-30,15.05,$1.40,10.78
2022-06-30,13.06,$0.64,20.46
2022-03-31,14.18,$-1.04,0.0
2021-12-31,18.58,$-0.67,0.0
2021-09-30,14.33,$-0.95,0.0
2021-06-30,15.07,$1.95,7.71
2021-03-31,17.63,$2.10,8.41
2020-12-31,16.09,$2.29,7.03
2020-09-30,11.17,$2.78,4.01
2020-06-30,9.77,$1.43,6.85
2020-03-31,6.56,$1.19,5.52
2019-12-31,13.35,$1.98,6.75
2019-09-30,13.04,$1.71,7.65
2019-06-30,14.55,$1.70,8.55
2019-03-31,12.05,$2.27,5.3
2018-12-31,11.56,$1.65,7.02
2018-09-30,16.04,$2.06,7.77
2018-06-30,16.36,$1.76,9.3
2018-03-31,18.17,$0.88,20.57
2017-12-31,18.88,$2.06,9.15
2017-09-30,19.81,$1.97,10.06
2017-06-30,19.03,$2.47,7.7
2017-03-31,17.86,$2.85,6.28
2016-12-31,13.6,$2.41,5.65
2016-09-30,12.25,$1.62,7.56
2016-06-30,10.92,$2.06,5.3
2016-03-31,11.35,$2.38,4.78
2015-12-31,10.17,$1.79,5.68
2015-09-30,9.11,$2.49,3.66
2015-06-30,10.78,$1.94,5.55
2015-03-31,12.12,$1.69,7.17
2014-12-31,10.63,$1.02,10.38
2014-09-30,11.45,$1.07,10.7
2014-06-30,12.25,$1.43,8.6
2014-03-31,11.83,$1.10,10.75
2013-12-31,10.62,$1.60,6.63
2013-09-30,10.03,$1.24,8.08
2013-06-30,8.75,$1.12,7.81
2013-03-31,8.74,$1.12,7.83
2012-12-31,7.71,$0.90,8.57
2012-09-30,6.13,$0.52,11.72
2012-06-30,5.69,$-0.09,0.0
2012-03-31,8.9,$-0.44,0.0
2011-12-31,6.74,$-0.12,0.0
2011-09-30,4.1,$-0.41,0.0
2011-06-30,8.06,$-0.42,0.0
2011-03-31,9.96,$-0.21,0.0
2010-12-31,10.19,$-0.61,0.0
2010-09-30,6.96,$-0.56,0.0
2010-06-30,6.11,$-0.54,0.0
2010-03-31,6.03,$-0.77,0.0
2009-12-31,1.63,$-0.25,0.0
