Hudson Global Price to Free Cash Flow Ratio Historical Data,Hudson Global Price to Free Cash Flow Ratio Historical Data,Hudson Global Price to Free Cash Flow Ratio Historical Data,Hudson Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.39,,0.0
2024-12-31,13.05,$-0.94,0.0
2024-09-30,16.02,$-0.57,0.0
2024-06-30,16.61,$-1.20,0.0
2024-03-31,17.65,$1.08,16.37
2023-12-31,15.49,$0.07,225.15
2023-09-30,18.85,$0.39,48.58
2023-06-30,21.53,$0.50,43.12
2023-03-31,22.27,$2.05,10.87
2022-12-31,22.63,$2.85,7.94
2022-09-30,33.62,$1.99,16.88
2022-06-30,31.4,$2.87,10.93
2022-03-31,40.67,$0.79,51.28
2021-12-31,29.0,$0.74,39.17
2021-09-30,15.92,$0.21,74.25
2021-06-30,17.65,$-0.72,0.0
2021-03-31,16.6,$-0.45,0.0
2020-12-31,10.5,$-0.50,0.0
2020-09-30,9.68,$0.39,24.6
2020-06-30,8.8,$0.66,13.37
2020-03-31,8.55,$-0.56,0.0
2019-12-31,11.95,$-1.57,0.0
2019-09-30,12.24,$-1.69,0.0
2019-06-30,12.45,$-1.65,0.0
2019-03-31,15.2,$-2.10,0.0
2018-12-31,13.5,$-4.86,0.0
2018-09-30,15.9,$-4.02,0.0
2018-06-30,16.2,$-3.90,0.0
2018-03-31,19.4,$-1.54,0.0
2017-12-31,22.5,$0.23,98.68
2017-09-30,14.6,$-0.02,0.0
2017-06-30,13.4,$-1.90,0.0
2017-03-31,12.6,$-4.69,0.0
2016-12-31,13.6,$-3.66,0.0
2016-09-30,15.4,$-5.00,0.0
2016-06-30,19.7,$-2.20,0.0
2016-03-31,23.17,$2.85,8.13
2015-12-31,28.04,$-1.06,0.0
2015-09-30,23.91,$6.18,3.87
2015-06-30,21.99,$3.85,5.71
2015-03-31,26.21,$-1.47,0.0
2014-12-31,29.72,$-0.34,0.0
2014-09-30,36.3,$-6.46,0.0
2014-06-30,37.74,$-3.80,0.0
2014-03-31,36.3,$-3.19,0.0
2013-12-31,38.6,$-0.01,0.0
2013-09-30,31.11,$0.03,1123.13
2013-06-30,23.81,$0.71,33.69
2013-03-31,37.83,$2.91,13.01
2012-12-31,43.02,$1.52,28.32
2012-09-30,42.83,$6.20,6.91
2012-06-30,40.04,$1.27,31.56
2012-03-31,51.66,$2.76,18.72
2011-12-31,45.99,$2.13,21.6
2011-09-30,32.84,$-2.82,0.0
2011-06-30,51.37,$-0.22,0.0
2011-03-31,62.41,$-5.04,0.0
2010-12-31,55.98,$-6.29,0.0
2010-09-30,33.03,$-10.50,0.0
2010-06-30,42.25,$-10.73,0.0
2010-03-31,42.06,$-8.84,0.0
2009-12-31,45.61,$-7.31,0.0
