Cars Price to Free Cash Flow Ratio Historical Data,Cars Price to Free Cash Flow Ratio Historical Data,Cars Price to Free Cash Flow Ratio Historical Data,Cars Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.4,,5.99
2024-12-31,17.33,$1.90,9.11
2024-09-30,16.76,$2.12,7.9
2024-06-30,19.7,$1.86,10.57
2024-03-31,17.18,$1.77,9.71
2023-12-31,18.97,$1.70,11.17
2023-09-30,16.86,$1.54,10.98
2023-06-30,19.82,$1.75,11.34
2023-03-31,19.3,$1.53,12.64
2022-12-31,13.77,$1.56,8.82
2022-09-30,11.5,$1.42,8.12
2022-06-30,9.43,$1.20,7.83
2022-03-31,14.43,$1.41,10.24
2021-12-31,16.09,$1.67,9.66
2021-09-30,12.65,$1.95,6.5
2021-06-30,14.33,$2.03,7.07
2021-03-31,12.96,$2.10,6.18
2020-12-31,11.3,$1.81,6.23
2020-09-30,8.08,$1.47,5.48
2020-06-30,5.76,$1.30,4.42
2020-03-31,4.3,$1.02,4.2
2019-12-31,12.22,$1.20,10.2
2019-09-30,8.98,$1.51,5.97
2019-06-30,19.72,$1.84,10.74
2019-03-31,22.8,$2.30,9.91
2018-12-31,21.5,$2.12,10.16
2018-09-30,27.61,$2.06,13.43
2018-06-30,28.39,$1.95,14.55
2018-03-31,28.33,$2.47,11.47
