Prestige Consumer Healthcare Price to Free Cash Flow Ratio Historical Data,Prestige Consumer Healthcare Price to Free Cash Flow Ratio Historical Data,Prestige Consumer Healthcare Price to Free Cash Flow Ratio Historical Data,Prestige Consumer Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,84.36,,16.99
2024-12-31,78.09,$4.97,15.72
2024-09-30,72.1,$5.08,14.2
2024-06-30,68.85,$4.91,14.03
2024-03-31,72.56,$4.77,15.21
2023-12-31,61.22,$4.65,13.15
2023-09-30,57.19,$4.33,13.2
2023-06-30,59.43,$4.25,13.98
2023-03-31,62.63,$4.45,14.08
2022-12-31,62.6,$4.48,13.96
2022-09-30,49.83,$4.67,10.66
2022-06-30,58.8,$4.71,12.48
2022-03-31,52.94,$4.92,10.75
2021-12-31,60.65,$4.80,12.62
2021-09-30,56.11,$4.42,12.7
2021-06-30,52.1,$4.13,12.63
2021-03-31,44.08,$4.22,10.45
2020-12-31,34.87,$4.12,8.46
2020-09-30,36.42,$4.33,8.41
2020-06-30,37.56,$4.41,8.51
2020-03-31,36.68,$3.96,9.26
2019-12-31,40.5,$3.91,10.36
2019-09-30,34.69,$3.62,9.58
2019-06-30,31.68,$3.40,9.31
2019-03-31,29.91,$3.43,8.71
2018-12-31,30.88,$3.48,8.88
2018-09-30,37.89,$3.48,10.89
2018-06-30,37.91,$3.74,10.15
2018-03-31,33.31,$3.69,9.02
2017-12-31,43.86,$2.85,15.4
2017-09-30,49.47,$2.80,17.67
2017-06-30,52.16,$2.74,19.02
2017-03-31,54.88,$2.73,20.09
2016-12-31,51.46,$3.34,15.39
2016-09-30,47.68,$3.45,13.83
2016-06-30,54.72,$3.40,16.11
2016-03-31,52.73,$3.26,16.19
2015-12-31,50.85,$3.47,14.65
2015-09-30,44.6,$3.66,12.18
2015-06-30,45.67,$3.30,13.84
2015-03-31,42.36,$3.04,13.93
2014-12-31,34.29,$2.68,12.79
2014-09-30,31.97,$2.12,15.1
2014-06-30,33.47,$2.22,15.06
2014-03-31,26.91,$2.08,12.95
2013-12-31,35.36,$2.18,16.21
2013-09-30,29.75,$2.42,12.29
2013-06-30,28.78,$2.62,10.98
2013-03-31,25.37,$2.48,10.25
2012-12-31,19.78,$2.16,9.15
2012-09-30,16.75,$1.74,9.63
2012-06-30,15.62,$1.28,12.21
2012-03-31,17.26,$1.32,13.11
2011-12-31,11.13,$1.44,7.75
2011-09-30,8.94,$1.51,5.9
2011-06-30,12.68,$1.60,7.92
2011-03-31,11.36,$1.71,6.65
2010-12-31,11.8,$1.39,8.52
2010-09-30,9.77,$1.23,7.94
2010-06-30,6.99,$1.23,5.71
2010-03-31,8.89,$1.17,7.58
2009-12-31,7.76,$2.33,3.34
