SmartFinancial Price to Free Cash Flow Ratio Historical Data,SmartFinancial Price to Free Cash Flow Ratio Historical Data,SmartFinancial Price to Free Cash Flow Ratio Historical Data,SmartFinancial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.55,,11.07
2024-09-30,29.08,$2.85,10.2
2024-06-30,23.55,$2.46,9.57
2024-03-31,20.89,$1.91,10.96
2023-12-31,24.19,$2.08,11.61
2023-09-30,21.03,$2.27,9.25
2023-06-30,21.1,$2.53,8.33
2023-03-31,22.61,$2.70,8.37
2022-12-31,26.79,$2.74,9.76
2022-09-30,24.02,$1.91,12.55
2022-06-30,23.42,$2.24,10.47
2022-03-31,24.72,$2.63,9.41
2021-12-31,26.37,$2.97,8.88
2021-09-30,24.86,$3.44,7.23
2021-06-30,23.04,$3.84,6.0
2021-03-31,20.72,$2.20,9.44
2020-12-31,17.31,$1.66,10.42
2020-09-30,12.93,$1.37,9.45
2020-06-30,15.34,$0.45,33.84
2020-03-31,14.36,$1.76,8.17
2019-12-31,22.28,$1.78,12.52
2019-09-30,19.58,$1.78,11.01
2019-06-30,20.39,$2.54,8.04
2019-03-31,17.78,$2.14,8.3
2018-12-31,17.18,$1.75,9.8
2018-09-30,22.14,$0.94,23.63
2018-06-30,24.22,$-0.28,0.0
2018-03-31,22.15,$-0.33,0.0
2017-12-31,20.4,$-0.17,0.0
2017-09-30,22.62,$-0.08,0.0
2017-06-30,22.45,$0.16,139.62
2017-03-31,19.78,$0.70,28.1
2016-12-31,17.45,$0.96,18.17
2016-09-30,15.32,$3.13,4.89
