Pioneer Power Solutions Price to Free Cash Flow Ratio Historical Data,Pioneer Power Solutions Price to Free Cash Flow Ratio Historical Data,Pioneer Power Solutions Price to Free Cash Flow Ratio Historical Data,Pioneer Power Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.47,,0.0
2024-09-30,4.69,$-0.89,0.0
2024-06-30,3.97,$-0.79,0.0
2024-03-31,5.71,$-1.00,0.0
2023-12-31,6.79,$-0.65,0.0
2023-09-30,6.26,$-0.56,0.0
2023-06-30,8.4,$-0.61,0.0
2023-03-31,3.52,$-0.82,0.0
2022-12-31,2.68,$-0.75,0.0
2022-09-30,2.83,$-0.70,0.0
2022-06-30,2.87,$-0.52,0.0
2022-03-31,5.66,$-0.08,0.0
2021-12-31,7.5,$-0.39,0.0
2021-09-30,3.32,$-0.39,0.0
2021-06-30,4.67,$-0.33,0.0
2021-03-31,4.72,$-0.40,0.0
2020-12-31,3.77,$-0.41,0.0
2020-09-30,1.5,$-0.56,0.0
2020-06-30,1.71,$-0.94,0.0
2020-03-31,1.64,$-0.87,0.0
2019-12-31,2.21,$-0.66,0.0
2019-09-30,3.98,$-0.01,0.0
2019-06-30,3.5,$0.62,5.65
2019-03-31,3.58,$0.26,13.98
2018-12-31,3.87,$0.27,14.52
2018-09-30,3.61,$0.21,16.96
2018-06-30,3.76,$-0.34,0.0
2018-03-31,4.87,$0.07,69.83
2017-12-31,5.61,$0.03,179.92
2017-09-30,5.66,$-0.25,0.0
2017-06-30,4.83,$0.42,11.44
2017-03-31,5.53,$-0.53,0.0
2016-12-31,4.39,$-1.16,0.0
2016-09-30,4.26,$-1.20,0.0
2016-06-30,3.95,$-1.82,0.0
2016-03-31,3.72,$-1.11,0.0
2015-12-31,2.91,$-0.65,0.0
2015-09-30,2.84,$-0.67,0.0
2015-06-30,5.27,$-0.23,0.0
2015-03-31,6.66,$0.14,46.36
2014-12-31,6.89,$-0.09,0.0
2014-09-30,5.93,$0.04,167.39
2014-06-30,6.14,$0.06,98.32
2014-03-31,6.42,$-0.25,0.0
