Kennametal Price to Free Cash Flow Ratio Historical Data,Kennametal Price to Free Cash Flow Ratio Historical Data,Kennametal Price to Free Cash Flow Ratio Historical Data,Kennametal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.63,,8.76
2024-12-31,24.02,$2.47,9.73
2024-09-30,25.75,$2.49,10.33
2024-06-30,23.19,$2.19,10.6
2024-03-31,24.38,$2.39,10.19
2023-12-31,25.01,$2.47,10.14
2023-09-30,23.92,$2.52,9.49
2023-06-30,27.1,$2.07,13.08
2023-03-31,26.13,$1.35,19.31
2022-12-31,22.64,$0.83,27.39
2022-09-30,19.21,$0.55,34.92
2022-06-30,21.52,$1.02,21.14
2022-03-31,26.3,$1.19,22.1
2021-12-31,32.82,$1.59,20.69
2021-09-30,31.12,$1.67,18.63
2021-06-30,32.48,$1.34,24.29
2021-03-31,35.96,$1.02,35.35
2020-12-31,32.43,$0.50,65.01
2020-09-30,25.74,$-0.03,0.0
2020-06-30,25.37,$-0.21,0.0
2020-03-31,16.32,$0.33,49.65
2019-12-31,32.11,$0.77,41.96
2019-09-30,26.6,$1.06,25.1
2019-06-30,31.79,$1.19,26.64
2019-03-31,31.4,$0.98,31.92
2018-12-31,28.28,$1.38,20.47
2018-09-30,36.83,$1.81,20.37
2018-06-30,30.2,$1.46,20.71
2018-03-31,33.61,$1.76,19.08
2017-12-31,40.32,$1.03,39.2
2017-09-30,33.45,$0.48,69.03
2017-06-30,30.84,$1.01,30.4
2017-03-31,32.17,$0.55,58.95
2016-12-31,25.5,$0.65,39.22
2016-09-30,23.51,$1.21,19.38
2016-06-30,17.79,$1.48,12.06
2016-03-31,17.94,$2.39,7.49
2015-12-31,15.14,$2.93,5.17
2015-09-30,19.49,$3.14,6.2
2015-06-30,26.54,$3.36,7.9
2015-03-31,26.08,$2.90,8.98
2014-12-31,27.57,$2.53,10.9
2014-09-30,31.68,$1.97,16.1
2014-06-30,35.34,$1.95,18.08
2014-03-31,33.7,$2.17,15.52
2013-12-31,39.44,$2.74,14.42
2013-09-30,34.41,$2.93,11.74
2013-06-30,29.18,$2.53,11.51
2013-03-31,29.22,$2.27,12.87
2012-12-31,29.83,$2.16,13.82
2012-09-30,27.53,$2.45,11.24
2012-06-30,24.5,$2.38,10.32
2012-03-31,32.8,$2.02,16.25
2011-12-31,26.82,$1.71,15.64
2011-09-30,23.96,$1.47,16.34
2011-06-30,30.78,$1.89,16.29
2011-03-31,28.35,$1.77,15.97
2010-12-31,28.6,$1.59,17.95
2010-09-30,22.34,$1.47,15.22
2010-06-30,18.29,$1.39,13.19
2010-03-31,20.14,$1.03,19.52
2009-12-31,18.47,$1.67,11.04
