Lantronix Price to Free Cash Flow Ratio Historical Data,Lantronix Price to Free Cash Flow Ratio Historical Data,Lantronix Price to Free Cash Flow Ratio Historical Data,Lantronix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.76,,12.49
2024-12-31,4.12,$0.22,18.68
2024-09-30,4.12,$0.33,12.3
2024-06-30,3.55,$0.46,7.74
2024-03-31,3.56,$0.42,8.41
2023-12-31,5.86,$0.57,10.26
2023-09-30,4.45,$0.28,15.83
2023-06-30,4.21,$-0.07,0.0
2023-03-31,4.34,$-0.24,0.0
2022-12-31,4.32,$-0.49,0.0
2022-09-30,4.81,$-0.49,0.0
2022-06-30,5.38,$-0.35,0.0
2022-03-31,6.68,$-0.15,0.0
2021-12-31,7.83,$-0.09,0.0
2021-09-30,5.82,$0.08,76.98
2021-06-30,5.16,$0.12,42.09
2021-03-31,4.57,$0.09,51.52
2020-12-31,4.44,$0.08,54.28
2020-09-30,4.81,$-0.04,0.0
2020-06-30,3.71,$-0.12,0.0
2020-03-31,1.96,$-0.18,0.0
2019-12-31,3.55,$-0.27,0.0
2019-09-30,3.35,$-0.15,0.0
2019-06-30,3.33,$-0.12,0.0
2019-03-31,3.02,$-0.10,0.0
2018-12-31,2.94,$-0.01,0.0
2018-09-30,4.07,$-0.02,0.0
2018-06-30,2.84,$0.01,194.52
2018-03-31,2.06,$0.06,34.97
2017-12-31,2.02,$0.06,31.46
2017-09-30,2.43,$0.10,24.35
2017-06-30,2.43,$0.11,23.1
2017-03-31,3.88,$0.11,34.37
2016-12-31,1.7,$0.05,35.94
2016-09-30,1.4,$0.00,0.0
2016-06-30,0.97,$-0.02,0.0
2016-03-31,0.95,$-0.16,0.0
2015-12-31,1.13,$-0.11,0.0
2015-09-30,1.25,$-0.17,0.0
2015-06-30,1.65,$-0.15,0.0
2015-03-31,1.81,$-0.03,0.0
2014-12-31,1.89,$-0.06,0.0
2014-09-30,1.78,$0.02,117.88
2014-06-30,1.97,$0.07,30.03
2014-03-31,2.08,$-0.07,0.0
2013-12-31,1.56,$-0.13,0.0
2013-09-30,1.4,$-0.27,0.0
2013-06-30,1.58,$-0.37,0.0
2013-03-31,2.15,$-0.21,0.0
2012-12-31,1.98,$-0.26,0.0
2012-09-30,1.74,$-0.18,0.0
2012-06-30,2.04,$-0.28,0.0
2012-03-31,2.8,$-0.54,0.0
2011-12-31,2.49,$-0.61,0.0
2011-09-30,1.84,$-0.51,0.0
2011-06-30,2.53,$-0.43,0.0
2011-03-31,3.79,$-0.11,0.0
2010-12-31,3.7,$0.11,34.91
2010-09-30,3.3,$0.11,31.34
2010-06-30,4.05,$0.20,20.28
2010-03-31,3.88,$0.11,35.83
2009-12-31,3.24,$0.14,23.74
