Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data,Truist Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.33,,25.42
2024-12-31,43.38,$1.63,26.68
2024-09-30,42.28,$2.84,14.87
2024-06-30,37.93,$3.49,10.86
2024-03-31,37.56,$5.66,6.64
2023-12-31,35.06,$6.48,5.41
2023-09-30,26.69,$7.30,3.66
2023-06-30,27.86,$8.34,3.34
2023-03-31,30.7,$8.51,3.61
2022-12-31,38.33,$8.28,4.63
2022-09-30,38.32,$9.20,4.16
2022-06-30,41.32,$6.22,6.64
2022-03-31,48.89,$5.73,8.53
2021-12-31,50.11,$5.85,8.57
2021-09-30,49.82,$3.99,12.49
2021-06-30,46.76,$4.36,10.73
2021-03-31,48.78,$1.78,27.35
2020-12-31,39.75,$4.88,8.15
2020-09-30,31.25,$2.38,13.11
2020-06-30,30.49,$4.39,6.94
2020-03-31,24.69,$5.66,4.36
2019-12-31,44.73,$1.59,28.13
2019-09-30,42.04,$3.66,11.48
2019-06-30,38.33,$3.43,11.17
2019-03-31,36.0,$3.69,9.75
2018-12-31,33.25,$5.09,6.54
2018-09-30,36.96,$5.85,6.31
2018-06-30,38.1,$5.72,6.67
2018-03-31,39.05,$5.91,6.6
2017-12-31,37.04,$5.72,6.48
2017-09-30,34.72,$6.72,5.17
2017-06-30,33.36,$4.59,7.26
2017-03-31,32.61,$4.18,7.8
2016-12-31,34.08,$3.82,8.92
2016-09-30,27.13,$2.45,11.08
2016-06-30,25.41,$5.15,4.94
2016-03-31,23.54,$4.78,4.93
2015-12-31,26.53,$4.13,6.42
2015-09-30,24.8,$4.80,5.16
2015-06-30,27.89,$3.23,8.63
2015-03-31,26.79,$2.72,9.84
2014-12-31,26.55,$4.41,6.03
2014-09-30,25.25,$7.05,3.58
2014-06-30,26.58,$5.40,4.92
2014-03-31,26.9,$7.70,3.5
2013-12-31,24.84,$7.43,3.34
2013-09-30,22.31,$3.13,7.12
2013-06-30,22.25,$4.87,4.57
2013-03-31,20.47,$3.23,6.34
2012-12-31,18.72,$5.24,3.57
2012-09-30,21.19,$4.70,4.51
2012-06-30,19.59,$4.36,4.5
2012-03-31,19.81,$5.87,3.38
2011-12-31,15.78,$6.06,2.6
2011-09-30,13.28,$8.00,1.66
2011-06-30,16.62,$7.73,2.15
2011-03-31,16.89,$7.18,2.35
2010-12-31,16.09,$4.90,3.28
2010-09-30,14.64,$3.24,4.51
2010-06-30,15.91,$10.34,1.54
2010-03-31,19.5,$16.01,1.22
2009-12-31,15.19,$-1.05,0.0
