JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,239.01,,0.0
2024-12-31,239.71,$-14.59,0.0
2024-09-30,209.62,$-45.69,0.0
2024-06-30,199.95,$-4.22,0.0
2024-03-31,196.85,$-11.10,0.0
2023-12-31,166.15,$4.41,37.69
2023-09-30,140.62,$17.96,7.83
2023-06-30,140.06,$-3.39,0.0
2023-03-31,124.52,$12.71,9.8
2022-12-31,127.2,$36.07,3.53
2022-09-30,98.23,$30.12,3.26
2022-06-30,104.92,$43.90,2.39
2022-03-31,126.07,$25.99,4.85
2021-12-31,145.55,$25.80,5.64
2021-09-30,149.58,$-11.39,0.0
2021-06-30,141.31,$-23.79,0.0
2021-03-31,137.5,$-1.40,0.0
2020-12-31,113.96,$-25.88,0.0
2020-09-30,85.56,$8.99,9.52
2020-06-30,82.79,$18.26,4.53
2020-03-31,78.4,$-13.01,0.0
2019-12-31,120.61,$1.27,95.22
2019-09-30,101.02,$-24.03,0.0
2019-06-30,95.29,$-24.66,0.0
2019-03-31,85.63,$-9.78,0.0
2018-12-31,81.9,$4.57,17.91
2018-09-30,94.02,$7.60,12.38
2018-06-30,86.35,$2.28,37.92
2018-03-31,90.68,$-6.90,0.0
2017-12-31,87.73,$-3.03,0.0
2017-09-30,77.91,$4.46,17.46
2017-06-30,74.15,$6.97,10.63
2017-03-31,70.86,$5.44,13.03
2016-12-31,69.23,$5.93,11.67
2016-09-30,53.04,$-1.01,0.0
2016-06-30,49.11,$4.69,10.46
2016-03-31,46.46,$9.79,4.75
2015-12-31,51.44,$19.47,2.64
2015-09-30,47.16,$22.94,2.06
2015-06-30,52.08,$15.53,3.35
2015-03-31,46.25,$9.76,4.74
2014-12-31,47.47,$9.64,4.93
2014-09-30,45.39,$-0.12,0.0
2014-06-30,43.12,$7.80,5.53
2014-03-31,45.14,$26.94,1.68
2013-12-31,43.2,$28.30,1.53
2013-09-30,37.91,$29.30,1.29
2013-06-30,38.44,$17.65,2.18
2013-03-31,34.34,$10.64,3.23
2012-12-31,31.6,$6.56,4.82
2012-09-30,28.88,$15.05,1.92
2012-06-30,25.28,$21.83,1.16
2012-03-31,32.32,$27.07,1.19
2011-12-31,23.21,$24.47,0.95
2011-09-30,20.85,$17.46,1.19
2011-06-30,28.17,$2.38,11.82
2011-03-31,31.55,$-6.79,0.0
2010-12-31,29.0,$-0.94,0.0
2010-09-30,25.98,$2.44,10.65
2010-06-30,24.96,$16.06,1.55
2010-03-31,30.44,$22.50,1.35
2009-12-31,28.31,$31.65,0.89
