Rackspace Technology Price to Free Cash Flow Ratio Historical Data,Rackspace Technology Price to Free Cash Flow Ratio Historical Data,Rackspace Technology Price to Free Cash Flow Ratio Historical Data,Rackspace Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.87,,0.0
2024-09-30,2.45,$-0.28,0.0
2024-06-30,2.98,$0.71,4.19
2024-03-31,1.58,$0.82,1.93
2023-12-31,2.0,$1.29,1.55
2023-09-30,2.35,$1.17,2.01
2023-06-30,2.72,$0.30,9.01
2023-03-31,1.88,$0.51,3.71
2022-12-31,2.95,$0.79,3.75
2022-09-30,4.08,$0.92,4.43
2022-06-30,7.17,$1.06,6.75
2022-03-31,11.16,$1.15,9.71
2021-12-31,13.47,$1.41,9.54
2021-09-30,14.22,$1.03,13.77
2021-06-30,19.61,$0.84,23.37
