Radware Price to Free Cash Flow Ratio Historical Data,Radware Price to Free Cash Flow Ratio Historical Data,Radware Price to Free Cash Flow Ratio Historical Data,Radware Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.62,,17.43
2024-09-30,22.28,$1.30,17.17
2024-06-30,18.24,$0.74,24.53
2024-03-31,18.72,$0.32,57.9
2023-12-31,16.68,$-0.21,0.0
2023-09-30,16.92,$-0.08,0.0
2023-06-30,19.39,$0.16,118.38
2023-03-31,21.54,$0.72,29.97
2022-12-31,19.75,$0.52,38.04
2022-09-30,21.79,$0.92,23.57
2022-06-30,21.67,$1.28,16.96
2022-03-31,31.97,$0.81,39.29
2021-12-31,41.64,$1.39,29.89
2021-09-30,33.72,$1.15,29.26
2021-06-30,30.78,$0.92,33.45
2021-03-31,26.08,$1.08,24.06
2020-12-31,27.75,$1.16,24.0
2020-09-30,24.24,$0.86,28.19
2020-06-30,23.59,$1.14,20.78
2020-03-31,21.07,$0.86,24.44
2019-12-31,25.78,$0.92,27.99
2019-09-30,24.26,$1.34,18.06
2019-06-30,24.73,$1.10,22.41
2019-03-31,26.13,$1.06,24.59
2018-12-31,22.71,$0.85,26.82
2018-09-30,26.47,$0.54,49.44
2018-06-30,25.28,$0.50,51.02
2018-03-31,21.35,$0.68,31.27
2017-12-31,19.4,$0.56,34.78
2017-09-30,16.86,$0.32,52.52
2017-06-30,17.54,$0.33,53.02
2017-03-31,16.16,$0.27,60.23
2016-09-30,13.74,$0.45,30.43
2016-06-30,11.26,$0.41,27.2
2016-03-31,11.83,$0.51,23.06
2015-12-31,15.34,$0.56,27.4
2015-09-30,16.26,$1.18,13.83
2015-06-30,22.2,$1.30,17.08
2015-03-31,20.91,$1.09,19.23
2014-12-31,22.02,$0.90,24.43
2014-09-30,17.66,$0.46,38.29
2014-06-30,16.87,$0.46,36.58
2014-03-31,17.68,$0.46,38.33
2013-12-31,17.98,$0.46,38.99
2013-09-30,13.95,$0.90,15.43
2013-06-30,13.79,$0.90,15.25
2013-03-31,18.87,$0.90,20.87
2012-12-31,16.5,$0.90,18.25
2012-09-30,18.01,$0.80,22.57
2012-06-30,19.15,$0.80,23.99
2012-03-31,18.72,$0.80,23.46
2011-12-31,14.63,$0.80,18.32
2011-09-30,10.8,0,0.0
2011-06-30,17.42,0,0.0
2011-03-31,17.72,0,0.0
2010-12-31,18.76,0,0.0
2010-09-30,17.18,$0.22,77.39
2010-06-30,10.24,$0.22,46.1
2010-03-31,11.04,$0.22,49.73
2009-12-31,7.56,$0.22,34.05
