Lemonade Price to Free Cash Flow Ratio Historical Data,Lemonade Price to Free Cash Flow Ratio Historical Data,Lemonade Price to Free Cash Flow Ratio Historical Data,Lemonade Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.47,,0.0
2024-12-31,36.68,$-0.29,0.0
2024-09-30,16.49,$-0.71,0.0
2024-06-30,16.5,$-1.03,0.0
2024-03-31,16.41,$-1.59,0.0
2023-12-31,16.13,$-1.84,0.0
2023-09-30,11.62,$-2.12,0.0
2023-06-30,16.85,$-2.76,0.0
2023-03-31,14.26,$-2.69,0.0
2022-12-31,13.68,$-2.67,0.0
2022-09-30,21.18,$-2.98,0.0
2022-06-30,18.26,$-2.88,0.0
2022-03-31,26.37,$-2.50,0.0
2021-12-31,42.11,$-2.52,0.0
2021-09-30,67.01,$-3.14,0.0
2021-06-30,109.41,$-3.85,0.0
