Kamada Price to Free Cash Flow Ratio Historical Data,Kamada Price to Free Cash Flow Ratio Historical Data,Kamada Price to Free Cash Flow Ratio Historical Data,Kamada Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.65,,10.43
2024-12-31,6.09,$0.64,9.55
2024-09-30,5.37,$0.58,9.3
2024-06-30,4.96,$0.21,23.71
2024-03-31,5.61,$0.03,183.33
2023-12-31,6.12,$-0.03,0.0
2023-09-30,5.34,$0.09,62.24
2023-06-30,5.28,$0.14,39.02
2023-03-31,4.65,$0.36,13.0
2022-12-31,4.01,$0.55,7.25
2022-09-30,4.51,$0.28,16.36
2022-06-30,4.51,$0.12,36.11
2022-03-31,5.52,$-0.22,0.0
2021-12-31,6.58,$-0.28,0.0
2021-09-30,5.3,$0.08,67.86
2021-06-30,5.82,$0.05,113.67
2021-03-31,6.19,$0.41,14.94
2020-12-31,6.48,$0.31,21.21
2020-09-30,8.36,$0.27,31.03
2020-06-30,7.76,$0.53,14.75
2020-03-31,5.83,$0.42,13.96
2019-12-31,6.83,$0.62,10.96
2019-09-30,5.13,$0.56,9.24
2019-06-30,5.52,$0.44,12.43
2019-03-31,5.73,$0.21,27.72
2018-12-31,5.0,$0.19,26.29
2018-09-30,6.2,$0.57,10.82
2018-06-30,5.2,$0.06,87.69
2018-03-31,4.6,$0.10,44.44
2017-12-31,4.75,$-0.01,0.0
2017-09-30,4.8,$-0.48,0.0
2017-06-30,6.0,$-0.04,0.0
2017-03-31,6.8,$-0.19,0.0
2016-12-31,5.45,$-0.02,0.0
2016-09-30,5.13,$-0.24,0.0
2016-06-30,3.67,$-0.24,0.0
2016-03-31,3.83,$-0.22,0.0
2015-12-31,4.15,$-0.46,0.0
2015-09-30,3.42,$-0.24,0.0
2015-06-30,3.82,$-0.39,0.0
2015-03-31,4.42,$-0.35,0.0
2014-12-31,3.8,$-0.35,0.0
2014-09-30,4.46,$-0.24,0.0
2014-06-30,7.13,$-0.24,0.0
2014-03-31,14.5,$-0.32,0.0
