Marblegate Acquisition Price to Free Cash Flow Ratio Historical Data,Marblegate Acquisition Price to Free Cash Flow Ratio Historical Data,Marblegate Acquisition Price to Free Cash Flow Ratio Historical Data,Marblegate Acquisition Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.5,,0.0
2024-09-30,10.91,$-0.11,0.0
2024-06-30,10.8,$-0.10,0.0
2024-03-31,10.46,$-0.16,0.0
2023-12-31,10.42,$-0.23,0.0
2023-09-30,10.44,$-0.24,0.0
2023-06-30,10.42,$-0.24,0.0
2023-03-31,10.09,$-0.17,0.0
2022-12-31,10.02,$-0.09,0.0
2022-09-30,9.95,$-0.12,0.0
