LiveOne Price to Free Cash Flow Ratio Historical Data,LiveOne Price to Free Cash Flow Ratio Historical Data,LiveOne Price to Free Cash Flow Ratio Historical Data,LiveOne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.82,,7.22
2024-12-31,1.47,$0.11,13.0
2024-09-30,0.95,$0.12,7.93
2024-06-30,1.57,$0.04,36.43
2024-03-31,1.95,$0.04,44.83
2023-12-31,1.39,$0.02,59.66
2023-09-30,0.96,$0.01,0.0
2023-06-30,1.76,$-0.06,0.0
2023-03-31,1.14,$-0.07,0.0
2022-12-31,0.64,$-0.07,0.0
2022-09-30,0.71,$-0.14,0.0
2022-06-30,0.86,$-0.17,0.0
2022-03-31,0.82,$-0.16,0.0
2021-12-31,1.28,$-0.20,0.0
2021-09-30,2.99,$-0.21,0.0
2021-06-30,4.72,$-0.25,0.0
2021-03-31,4.34,$-0.18,0.0
2020-12-31,3.28,$-0.17,0.0
2020-09-30,2.6,$-0.12,0.0
2020-06-30,3.62,$-0.01,0.0
2020-03-31,1.58,$-0.13,0.0
2019-12-31,1.55,$-0.18,0.0
2019-09-30,2.01,$-0.15,0.0
2019-06-30,4.15,$-0.14,0.0
2019-03-31,5.38,$-0.16,0.0
2018-12-31,4.95,$-0.25,0.0
