TAT Technologies Price to Free Cash Flow Ratio Historical Data,TAT Technologies Price to Free Cash Flow Ratio Historical Data,TAT Technologies Price to Free Cash Flow Ratio Historical Data,TAT Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.78,,0.0
2024-09-30,18.34,$-0.69,0.0
2024-06-30,14.9,$-1.29,0.0
2024-03-31,12.11,$-0.61,0.0
2023-12-31,10.15,$-0.09,0.0
2023-09-30,8.6,$-0.08,0.0
2023-06-30,7.45,$-0.39,0.0
2023-03-31,6.17,$-1.28,0.0
2022-12-31,5.3,$-2.36,0.0
2022-09-30,5.97,$-2.48,0.0
2022-06-30,5.7,$-2.27,0.0
2022-03-31,6.39,$-1.89,0.0
2021-12-31,6.31,$-1.96,0.0
2021-09-30,5.83,$-2.10,0.0
2021-06-30,5.96,$-1.65,0.0
2021-03-31,5.14,$-0.83,0.0
2020-12-31,4.53,$0.23,19.58
2020-09-30,4.93,$0.46,10.73
2020-06-30,3.96,$0.83,4.8
2020-03-31,3.48,$0.37,9.47
2019-12-31,5.05,$0.04,138.39
2019-09-30,4.84,$-0.10,0.0
2019-06-30,5.71,$-0.12,0.0
2019-03-31,6.08,$-0.30,0.0
2018-12-31,6.15,$-0.25,0.0
2018-09-30,6.9,$-0.13,0.0
2018-06-30,7.75,$-0.55,0.0
2018-03-31,8.7,$-0.53,0.0
2017-12-31,10.5,$-0.11,0.0
2017-09-30,11.2,$0.40,28.15
2017-06-30,10.2,$0.72,14.07
2017-03-31,9.53,$0.36,26.5
2016-12-31,8.51,$-0.02,0.0
2016-09-30,7.57,$-0.44,0.0
2016-06-30,6.82,$-0.66,0.0
2016-03-31,6.83,$-0.26,0.0
2015-12-31,6.93,$-0.29,0.0
2015-09-30,6.73,$-0.88,0.0
2015-06-30,6.36,$-0.97,0.0
2015-03-31,6.58,$-0.78,0.0
2014-12-31,6.25,$-0.51,0.0
2014-09-30,6.8,$0.72,9.44
2014-06-30,6.86,$0.90,7.62
2014-03-31,7.59,$0.79,9.59
2013-12-31,7.24,$0.65,11.19
2013-09-30,7.32,$0.61,11.9
2013-06-30,6.21,$0.61,10.09
2013-03-31,5.64,$0.61,9.18
2012-12-31,5.08,$0.61,8.25
2012-09-30,3.41,$-0.27,0.0
2012-06-30,3.87,$-0.27,0.0
2012-03-31,3.72,$-0.27,0.0
2011-12-31,3.44,$-0.27,0.0
2011-09-30,4.24,$0.03,138.49
2011-06-30,4.96,$0.03,161.99
2011-03-31,4.58,$0.03,149.68
2010-12-31,4.61,$0.03,150.52
2010-09-30,5.93,$-0.31,0.0
2010-06-30,5.56,$-0.31,0.0
2010-03-31,6.93,$-0.31,0.0
2009-12-31,7.12,$-0.31,0.0
