HCW Biologics Price to Free Cash Flow Ratio Historical Data,HCW Biologics Price to Free Cash Flow Ratio Historical Data,HCW Biologics Price to Free Cash Flow Ratio Historical Data,HCW Biologics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.3,,0.0
2024-09-30,0.54,$-0.52,0.0
2024-06-30,0.65,$-0.61,0.0
2024-03-31,1.75,$-0.79,0.0
2023-12-31,1.23,$-0.80,0.0
2023-09-30,1.9,$-0.70,0.0
2023-06-30,2.17,$-0.87,0.0
2023-03-31,1.4,$-0.64,0.0
2022-12-31,1.91,$-0.58,0.0
2022-09-30,2.29,$-0.80,0.0
2022-06-30,2.2,$-0.71,0.0
