Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,48.67,,40.13
2024-12-31,47.52,$1.21,39.18
2024-09-30,44.88,$1.24,36.21
2024-06-30,38.36,$1.12,34.35
2024-03-31,32.54,$1.06,30.64
2023-12-31,29.81,$0.82,36.37
2023-09-30,29.53,$0.54,55.08
2023-06-30,33.68,$0.38,89.71
2023-03-31,33.61,$0.58,57.92
2022-12-31,30.18,$1.18,25.58
2022-09-30,27.2,$1.45,18.79
2022-06-30,29.3,$1.69,17.35
2022-03-31,34.07,$1.80,18.97
2021-12-31,34.14,$2.10,16.23
2021-09-30,33.25,$2.17,15.3
2021-06-30,37.04,$2.16,17.13
2021-03-31,39.19,$1.96,19.97
2020-12-31,32.22,$1.09,29.61
2020-09-30,28.83,$1.24,23.32
2020-06-30,22.88,$1.36,16.77
2020-03-31,17.97,$0.36,49.39
2019-12-31,25.24,$0.15,173.24
2019-09-30,24.56,$-0.23,0.0
2019-06-30,28.41,$-0.41,0.0
2019-03-31,28.11,$0.45,61.99
2018-12-31,25.51,$0.67,38.22
2018-09-30,29.64,$0.66,44.85
2018-06-30,22.97,$0.35,65.01
2018-03-31,23.12,$0.01,1738.66
2017-12-31,26.37,$0.22,117.99
2017-09-30,24.54,$0.83,29.45
2017-06-30,24.52,$1.02,24.15
2017-03-31,21.91,$1.36,16.08
2016-12-31,19.59,$1.23,15.93
2016-09-30,18.98,$0.70,27.16
2016-06-30,16.34,$0.74,22.08
2016-03-31,16.55,$0.67,24.85
2015-12-31,14.38,$1.18,12.23
2015-09-30,13.38,$1.26,10.58
2015-06-30,15.31,$1.39,10.99
2015-03-31,17.5,$1.65,10.61
2014-12-31,17.61,$2.55,6.92
2014-09-30,14.78,$2.67,5.53
2014-06-30,16.69,$2.34,7.12
2014-03-31,15.76,$2.01,7.85
2013-12-31,13.42,$1.21,11.1
2013-09-30,10.92,$1.03,10.59
2013-06-30,10.58,$1.01,10.52
2013-03-31,9.85,$0.99,9.91
2012-12-31,9.25,$0.93,9.92
2012-09-30,9.56,$0.71,13.47
2012-06-30,9.34,$0.74,12.71
2012-03-31,10.12,$0.68,14.85
2011-12-31,9.28,$0.48,19.4
2011-09-30,8.79,$1.25,7.01
2011-06-30,12.87,$1.21,10.62
2011-03-31,14.59,$1.52,9.61
2010-12-31,13.63,$1.79,7.62
2010-09-30,12.86,$1.25,10.3
2010-06-30,11.33,$1.31,8.67
2010-03-31,14.13,$1.07,13.23
2009-12-31,13.46,$0.77,17.48
