Nutex Health Price to Free Cash Flow Ratio Historical Data,Nutex Health Price to Free Cash Flow Ratio Historical Data,Nutex Health Price to Free Cash Flow Ratio Historical Data,Nutex Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,53.17,,13.53
2024-09-30,21.7,$3.93,5.52
2024-06-30,0.59,$2.61,0.23
2024-03-31,0.1,$-0.62,0.0
2023-12-31,0.18,$-1.87,0.0
2023-09-30,0.2,$1.41,0.14
2023-06-30,0.42,$-1.49,0.0
2023-03-31,1.01,$7.73,0.13
