Open Lending Price to Free Cash Flow Ratio Historical Data,Open Lending Price to Free Cash Flow Ratio Historical Data,Open Lending Price to Free Cash Flow Ratio Historical Data,Open Lending Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.08,,10.79
2024-09-30,6.12,$0.28,21.48
2024-06-30,5.58,$0.36,15.48
2024-03-31,6.26,$0.51,12.21
2023-12-31,8.51,$0.66,12.85
2023-09-30,7.32,$0.71,10.34
2023-06-30,10.51,$0.79,13.27
2023-03-31,7.04,$0.83,8.47
2022-12-31,6.75,$0.85,7.98
2022-09-30,8.04,$0.88,9.16
2022-06-30,10.23,$0.90,11.31
2022-03-31,18.91,$0.84,22.51
2021-12-31,22.48,$0.74,30.49
2021-09-30,36.07,$0.68,53.2
2021-06-30,43.09,$0.30,141.98
2021-03-31,35.42,$0.30,119.42
2020-12-31,34.96,$0.28,123.62
2020-09-30,25.5,$0.47,54.59
2020-06-30,15.1,$0.89,16.98
2020-03-31,10.15,$1.25,8.09
2019-12-31,10.54,$1.11,9.52
2019-09-30,10.2,$1.55,6.58
2019-06-30,10.09,$1.22,8.27
2019-03-31,9.99,$0.75,13.36
2018-12-31,9.75,$0.76,12.88
