Lument Finance Trust Price to Free Cash Flow Ratio Historical Data,Lument Finance Trust Price to Free Cash Flow Ratio Historical Data,Lument Finance Trust Price to Free Cash Flow Ratio Historical Data,Lument Finance Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.82,,5.43
2024-12-31,2.58,$0.52,4.97
2024-09-30,2.53,$0.57,4.4
2024-06-30,2.33,$0.56,4.16
2024-03-31,2.34,$0.54,4.36
2023-12-31,2.13,$0.47,4.49
2023-09-30,1.84,$0.41,4.5
2023-06-30,1.63,$0.37,4.39
2023-03-31,1.68,$0.32,5.18
2022-12-31,1.53,$0.34,4.55
2022-09-30,1.69,$0.30,5.59
2022-06-30,1.81,$0.43,4.2
2022-03-31,2.03,$0.55,3.68
2021-12-31,2.79,$0.56,5.03
2021-09-30,2.81,$0.62,4.52
2021-06-30,2.92,$0.57,5.16
2021-03-31,2.4,$0.52,4.6
2020-12-31,2.17,$0.49,4.42
2020-09-30,1.74,$0.44,4.0
2020-06-30,1.64,$0.42,3.95
2020-03-31,1.11,$0.30,3.75
2019-12-31,1.87,$0.31,6.07
2019-09-30,1.9,$0.27,7.03
2019-06-30,1.88,$0.37,5.04
2019-03-31,1.88,$0.54,3.46
2018-12-31,1.51,$0.52,2.91
2018-09-30,1.94,$0.64,3.05
2018-06-30,1.74,$0.50,3.45
2018-03-31,1.46,$0.37,3.97
2017-12-31,1.94,$0.21,9.19
2017-09-30,2.09,$0.17,12.04
2017-06-30,2.21,$0.18,12.5
2017-03-31,2.26,$0.04,56.26
2016-12-31,2.13,$0.16,13.31
2016-09-30,1.87,$-0.02,0.0
2016-06-30,1.75,$-0.12,0.0
2016-03-31,1.73,$0.03,53.96
2015-12-31,1.62,$0.14,11.55
2015-09-30,1.79,$1.05,1.7
2015-06-30,2.27,$1.24,1.82
2015-03-31,2.79,$1.51,1.84
2014-12-31,2.73,$1.68,1.63
2014-09-30,2.57,$1.55,1.66
2014-06-30,2.67,$2.14,1.25
2014-03-31,2.55,$3.59,0.71
2013-12-31,2.31,$2.17,1.06
