Nextracker Price to Free Cash Flow Ratio Historical Data,Nextracker Price to Free Cash Flow Ratio Historical Data,Nextracker Price to Free Cash Flow Ratio Historical Data,Nextracker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.97,,13.27
2024-12-31,36.53,$3.39,10.78
2024-09-30,37.48,$2.91,12.9
2024-06-30,46.88,$2.13,22.02
2024-03-31,56.27,$2.87,19.6
2023-12-31,46.85,$2.13,22.01
