Reinsurance Group Of America Price to Free Cash Flow Ratio Historical Data,Reinsurance Group Of America Price to Free Cash Flow Ratio Historical Data,Reinsurance Group Of America Price to Free Cash Flow Ratio Historical Data,Reinsurance Group Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,191.58,,1.37
2024-12-31,213.63,$140.06,1.53
2024-09-30,217.03,$134.18,1.62
2024-06-30,203.58,$133.58,1.52
2024-03-31,190.51,$122.73,1.55
2023-12-31,158.99,$60.27,2.64
2023-09-30,141.94,$46.34,3.06
2023-06-30,134.77,$43.19,3.12
2023-03-31,128.32,$40.68,3.15
2022-12-31,136.62,$19.84,6.89
2022-09-30,120.24,$20.82,5.78
2022-06-30,111.41,$30.99,3.6
2022-03-31,103.34,$28.80,3.59
2021-12-31,102.7,$61.23,1.68
2021-09-30,103.69,$65.41,1.59
2021-06-30,105.59,$43.56,2.42
2021-03-31,116.11,$49.86,2.33
2020-12-31,106.13,$50.06,2.12
2020-09-30,86.64,$49.00,1.77
2020-06-30,70.87,$60.82,1.17
2020-03-31,75.43,$65.37,1.15
2019-12-31,145.51,$35.57,4.09
2019-09-30,142.08,$34.24,4.15
2019-06-30,138.0,$29.99,4.6
2019-03-31,125.57,$25.66,4.89
2018-12-31,123.51,$23.84,5.18
2018-09-30,126.79,$29.95,4.23
2018-06-30,116.58,$27.71,4.21
2018-03-31,134.07,$26.69,5.02
2017-12-31,135.31,$29.47,4.59
2017-09-30,120.68,$22.45,5.38
2017-06-30,110.65,$23.17,4.77
2017-03-31,109.08,$22.31,4.89
2016-12-31,107.74,$21.87,4.93
2016-09-30,92.08,$33.65,2.74
2016-06-30,82.4,$31.18,2.64
2016-03-31,81.46,$32.06,2.54
2015-12-31,72.08,$30.69,2.35
2015-09-30,76.03,$28.12,2.7
2015-06-30,79.31,$28.41,2.79
2015-03-31,77.63,$28.81,2.69
2014-12-31,72.72,$32.13,2.26
2014-09-30,66.25,$23.10,2.87
2014-06-30,64.96,$25.11,2.59
2014-03-31,65.31,$24.78,2.64
2013-12-31,63.23,$23.84,2.65
2013-09-30,54.49,$23.53,2.32
2013-06-30,55.96,$26.71,2.1
2013-03-31,48.14,$25.79,1.87
2012-12-31,43.0,$26.63,1.61
2012-09-30,46.28,$27.06,1.71
2012-06-30,42.38,$21.50,1.97
2012-03-31,47.2,$20.07,2.35
2011-12-31,41.34,$17.67,2.34
2011-09-30,36.23,$18.03,2.01
2011-06-30,47.83,$18.03,2.65
2011-03-31,49.24,$17.05,2.89
2010-12-31,42.05,$24.67,1.7
2010-09-30,37.71,$24.16,1.56
2010-06-30,35.61,$25.07,1.42
2010-03-31,40.82,$26.48,1.54
2009-12-31,36.94,$18.60,1.99
