Capital Southwest Price to Free Cash Flow Ratio Historical Data,Capital Southwest Price to Free Cash Flow Ratio Historical Data,Capital Southwest Price to Free Cash Flow Ratio Historical Data,Capital Southwest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.22,,0.0
2024-12-31,21.82,$-5.50,0.0
2024-09-30,24.58,$-1.86,0.0
2024-06-30,24.72,$-2.47,0.0
2024-03-31,23.08,$-4.63,0.0
2023-12-31,21.34,$-3.48,0.0
2023-09-30,20.08,$-6.79,0.0
2023-06-30,16.82,$-6.31,0.0
2023-03-31,14.71,$-7.58,0.0
2022-12-31,13.68,$-8.33,0.0
2022-09-30,13.13,$-6.90,0.0
2022-06-30,13.89,$-6.10,0.0
2022-03-31,17.32,$-8.09,0.0
2021-12-31,18.08,$-7.13,0.0
2021-09-30,17.33,$-5.67,0.0
2021-06-30,15.67,$-7.05,0.0
2021-03-31,14.66,$-3.58,0.0
2020-12-31,11.47,$-3.72,0.0
2020-09-30,8.81,$-5.10,0.0
2020-06-30,8.16,$-3.75,0.0
2020-03-31,6.67,$-2.66,0.0
2019-12-31,11.69,$-2.47,0.0
2019-09-30,11.57,$-0.96,0.0
2019-06-30,10.86,$-4.71,0.0
2019-03-31,10.67,$-5.66,0.0
2018-12-31,9.53,$-5.30,0.0
2018-09-30,9.2,$-8.16,0.0
2018-06-30,8.58,$-4.91,0.0
2018-03-31,7.69,$-3.96,0.0
2017-12-31,7.36,$-4.28,0.0
2017-09-30,7.5,$-4.11,0.0
2017-06-30,6.94,$-6.00,0.0
2017-03-31,7.2,$-5.64,0.0
2016-12-31,6.69,$-7.32,0.0
2016-09-30,6.02,$-7.44,0.0
2016-06-30,5.56,$-6.14,0.0
2016-03-31,5.62,$-7.09,0.0
2015-12-31,5.61,$8.58,0.65
2015-09-30,6.76,$10.75,0.63
2015-06-30,7.12,$11.74,0.61
2015-03-31,6.6,$12.51,0.53
2014-12-31,5.39,$-0.38,0.0
2014-09-30,5.07,0,0.0
2014-06-30,5.11,0,0.0
2014-03-31,4.91,0,0.0
2013-12-31,4.93,0,0.0
2013-09-30,4.82,0,0.0
2013-06-30,4.86,0,0.0
2013-03-31,4.04,0,0.0
2012-12-31,3.42,0,0.0
2012-09-30,3.83,0,0.0
2012-06-30,3.52,0,0.0
2012-03-31,2.67,0,0.0
2011-12-31,2.3,0,0.0
2011-09-30,2.08,0,0.0
2011-06-30,2.6,0,0.0
2011-03-31,2.56,0,0.0
2010-12-31,2.91,0,0.0
2010-09-30,2.53,0,0.0
2010-06-30,2.45,0,0.0
2010-03-31,2.52,0,0.0
2009-12-31,2.19,0,0.0
