Atour Lifestyle Holdings Price to Free Cash Flow Ratio Historical Data,Atour Lifestyle Holdings Price to Free Cash Flow Ratio Historical Data,Atour Lifestyle Holdings Price to Free Cash Flow Ratio Historical Data,Atour Lifestyle Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.21,,17.45
2024-09-30,25.94,$1.73,14.98
2024-06-30,18.35,$1.82,10.09
2024-03-31,17.94,$1.75,10.25
2023-12-31,17.36,$1.98,8.75
2023-09-30,18.85,$1.66,11.39
