Focus Universal Price to Free Cash Flow Ratio Historical Data,Focus Universal Price to Free Cash Flow Ratio Historical Data,Focus Universal Price to Free Cash Flow Ratio Historical Data,Focus Universal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.3,,11.69
2024-12-31,0.35,$0.37,0.95
2024-09-30,0.26,$0.34,0.77
2024-06-30,0.24,$-0.61,0.0
2024-03-31,0.41,$-0.54,0.0
2023-12-31,1.46,$-0.59,0.0
2023-09-30,1.94,$-0.48,0.0
2023-06-30,1.53,$-0.44,0.0
2023-03-31,2.5,$-0.43,0.0
2022-12-31,4.27,$-0.46,0.0
2022-09-30,6.25,$-0.63,0.0
2022-06-30,7.61,$-0.75,0.0
