NeuroOne Medical Technologies Price to Free Cash Flow Ratio Historical Data,NeuroOne Medical Technologies Price to Free Cash Flow Ratio Historical Data,NeuroOne Medical Technologies Price to Free Cash Flow Ratio Historical Data,NeuroOne Medical Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.0,,0.0
2024-12-31,0.83,$-0.25,0.0
2024-09-30,0.99,$-0.42,0.0
2024-06-30,0.8,$-0.45,0.0
2024-03-31,1.2,$-0.53,0.0
2023-12-31,1.58,$-0.68,0.0
2023-09-30,0.89,$-0.73,0.0
2023-06-30,1.2,$-0.53,0.0
2023-03-31,1.61,$-0.55,0.0
2022-12-31,1.2,$-0.53,0.0
2022-09-30,1.69,$-0.49,0.0
2022-06-30,0.82,$-0.80,0.0
2022-03-31,1.1,$-1.18,0.0
