Heritage Global Price to Free Cash Flow Ratio Historical Data,Heritage Global Price to Free Cash Flow Ratio Historical Data,Heritage Global Price to Free Cash Flow Ratio Historical Data,Heritage Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.23,,10.88
2024-12-31,1.85,$0.20,9.03
2024-09-30,1.7,$0.36,4.66
2024-06-30,2.46,$0.38,6.55
2024-03-31,2.64,$0.15,18.0
2023-12-31,2.78,$0.34,8.19
2023-09-30,3.12,$0.43,7.25
2023-06-30,3.62,$0.31,11.67
2023-03-31,2.87,$0.32,8.9
2022-12-31,2.35,$0.17,13.91
2022-09-30,1.61,$0.11,15.16
2022-06-30,1.5,$0.04,40.65
2022-03-31,1.35,$0.13,10.4
2021-12-31,1.87,$-0.11,0.0
2021-09-30,1.96,$0.04,46.56
2021-06-30,2.53,$0.19,13.35
2021-03-31,2.85,$0.13,22.32
2020-12-31,2.66,$0.28,9.52
