Richmond Mutual Bancorporation Price to Free Cash Flow Ratio Historical Data,Richmond Mutual Bancorporation Price to Free Cash Flow Ratio Historical Data,Richmond Mutual Bancorporation Price to Free Cash Flow Ratio Historical Data,Richmond Mutual Bancorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.86,,11.2
2024-09-30,12.78,$1.15,11.12
2024-06-30,11.5,$1.07,10.71
2024-03-31,10.76,$1.07,10.1
2023-12-31,11.0,$1.19,9.23
2023-09-30,10.53,$1.08,9.72
2023-06-30,10.3,$1.33,7.74
2023-03-31,9.55,$1.61,5.92
2022-12-31,11.86,$1.62,7.34
2022-09-30,12.15,$0.18,67.15
2022-06-30,12.56,$0.23,54.23
2022-03-31,15.22,$-0.33,0.0
2021-12-31,14.24,$-0.88,0.0
2021-09-30,13.91,$0.97,14.29
2021-06-30,13.1,$0.45,29.28
2021-03-31,11.45,$0.62,18.59
2020-12-31,11.47,$1.20,9.57
2020-09-30,8.85,$0.83,10.64
2020-06-30,9.36,$1.37,6.84
