Wilhelmina Price to Free Cash Flow Ratio Historical Data,Wilhelmina Price to Free Cash Flow Ratio Historical Data,Wilhelmina Price to Free Cash Flow Ratio Historical Data,Wilhelmina Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-01-27,3.56,,10.86
2024-09-30,4.17,$0.33,12.72
2024-06-30,5.43,$0.18,30.4
2024-03-31,4.86,$0.08,58.91
2023-12-31,4.12,$0.10,39.3
2023-09-30,3.85,$0.05,70.88
2023-06-30,3.8,$0.30,12.85
2023-03-31,4.34,$0.34,12.89
2022-12-31,3.54,$0.44,8.11
2022-09-30,4.09,$0.76,5.36
2022-06-30,4.39,$0.68,6.49
2022-03-31,4.65,$0.88,5.27
2021-12-31,5.25,$1.07,4.91
2021-09-30,5.38,$0.75,7.2
2021-06-30,5.0,$0.41,12.26
2021-03-31,5.22,$-0.12,0.0
2020-12-31,4.59,$-0.41,0.0
2020-09-30,3.13,$-0.34,0.0
2020-06-30,4.0,$-0.26,0.0
2020-03-31,3.59,$0.05,77.2
2019-12-31,4.14,$0.22,18.78
2019-09-30,5.54,$0.28,19.82
2019-06-30,6.2,$0.44,13.95
2019-03-31,5.89,$0.66,8.87
2018-12-31,5.83,$0.62,9.38
2018-09-30,6.82,$0.60,11.36
2018-06-30,5.99,$0.36,16.7
2018-03-31,7.25,$0.03,251.74
2017-12-31,6.47,$-0.18,0.0
2017-09-30,6.4,$-0.15,0.0
2017-06-30,7.3,$-0.01,0.0
2017-03-31,7.21,$0.19,38.41
2016-12-31,8.75,$0.23,38.39
2016-09-30,8.63,$0.28,30.82
2016-06-30,7.11,$0.15,47.78
2016-03-31,6.11,$-0.06,0.0
2015-12-31,7.11,$-0.09,0.0
2015-09-30,6.0,$-0.19,0.0
2015-06-30,5.75,$0.06,93.8
2015-03-31,5.45,$0.49,11.21
2014-12-31,6.0,$0.63,9.58
2014-09-30,6.1,$0.55,11.12
2014-06-30,5.7,$0.45,12.71
2014-03-31,4.8,$0.38,12.55
2013-12-31,6.0,$0.42,14.33
2013-09-30,4.0,$-0.06,0.0
2013-06-30,2.8,$0.07,38.3
2013-03-31,3.4,$-0.17,0.0
2012-12-31,2.4,$0.04,66.48
2012-09-30,2.2,$0.18,12.09
2012-06-30,2.6,$0.17,15.16
2012-03-31,3.6,$0.25,14.13
2011-12-31,4.0,$0.23,17.26
2011-09-30,4.2,$0.30,14.05
2011-06-30,4.8,$0.16,30.63
2011-03-31,4.0,$0.22,18.19
2010-12-31,3.0,$-0.00,0.0
2010-09-30,2.4,$0.03,91.25
2010-06-30,2.4,$-0.01,0.0
