Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.19,,15.18
2024-12-31,26.53,$1.73,15.38
2024-09-30,28.49,$1.44,19.78
2024-06-30,27.18,$0.84,32.29
2024-03-31,26.56,$0.89,29.68
2023-12-31,27.14,$0.84,32.32
2023-09-30,30.84,$1.42,21.72
2023-06-30,33.72,$1.85,18.22
2023-03-31,37.1,$3.53,10.51
2022-12-31,46.17,$4.54,10.17
2022-09-30,39.09,$4.10,9.53
2022-06-30,46.47,$4.97,9.36
2022-03-31,45.53,$5.55,8.2
2021-12-31,51.54,$5.23,9.85
2021-09-30,37.21,$5.21,7.14
2021-06-30,33.57,$3.73,9.0
2021-03-31,30.76,$2.39,12.88
2020-12-31,30.91,$2.16,14.3
2020-09-30,28.92,$1.87,15.47
2020-06-30,25.52,$2.29,11.13
2020-03-31,25.21,$2.12,11.89
2019-12-31,29.96,$1.86,16.13
2019-09-30,27.21,$1.99,13.71
2019-06-30,32.5,$2.07,15.73
2019-03-31,31.58,$2.27,13.93
2018-12-31,32.19,$2.32,13.9
2018-09-30,32.25,$2.68,12.05
2018-06-30,26.32,$2.63,10.01
2018-03-31,25.5,$2.51,10.15
2017-12-31,25.79,$2.45,10.52
2017-09-30,25.19,$2.27,11.11
2017-06-30,23.47,$2.23,10.51
2017-03-31,23.67,$2.29,10.33
2016-12-31,22.25,$2.33,9.54
2016-09-30,22.97,$2.15,10.7
2016-06-30,23.68,$2.21,10.73
2016-03-31,19.76,$2.30,8.6
2015-12-31,21.3,$2.12,10.03
2015-09-30,20.56,$2.25,9.12
2015-06-30,21.78,$2.16,10.1
2015-03-31,22.41,$2.13,10.5
2014-12-31,19.89,$2.47,8.04
2014-09-30,18.72,$2.37,7.89
2014-06-30,18.62,$2.61,7.13
2014-03-31,19.97,$2.51,7.96
2013-12-31,18.89,$2.39,7.9
2013-09-30,17.58,$2.27,7.74
2013-06-30,17.0,$2.00,8.48
2013-03-31,17.37,$2.01,8.64
2012-12-31,14.96,$2.05,7.29
2012-09-30,14.69,$2.04,7.2
2012-06-30,13.48,$1.94,6.95
2012-03-31,13.14,$2.15,6.12
2011-12-31,12.43,$2.36,5.26
2011-09-30,10.05,$2.49,4.04
2011-06-30,11.59,$2.75,4.21
2011-03-31,11.31,$2.60,4.35
2010-12-31,9.65,$1.23,7.84
2010-09-30,9.37,$1.08,8.63
2010-06-30,7.69,$0.86,8.97
2010-03-31,9.16,$0.93,9.83
2009-12-31,9.62,$2.18,4.41
