SIFCO Industries Price to Free Cash Flow Ratio Historical Data,SIFCO Industries Price to Free Cash Flow Ratio Historical Data,SIFCO Industries Price to Free Cash Flow Ratio Historical Data,SIFCO Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.8,,0.0
2024-12-31,3.55,$-1.09,0.0
2024-09-30,4.65,$-0.77,0.0
2024-06-30,3.1,$-1.27,0.0
2024-03-31,3.18,$-1.63,0.0
2023-12-31,4.54,$-1.11,0.0
2023-09-30,3.67,$-0.82,0.0
2023-06-30,2.46,$-0.89,0.0
2023-03-31,3.01,$-0.01,0.0
2022-12-31,2.16,$-0.67,0.0
2022-09-30,3.07,$-0.50,0.0
2022-06-30,3.1,$-0.09,0.0
2022-03-31,4.96,$-1.04,0.0
2021-12-31,6.5,$0.04,146.73
2021-09-30,8.6,$-0.19,0.0
2021-06-30,10.07,$-1.00,0.0
2021-03-31,12.54,$-0.55,0.0
2020-12-31,8.4,$-1.00,0.0
2020-09-30,3.68,$-1.48,0.0
2020-06-30,4.0,$-1.97,0.0
2020-03-31,2.25,$-1.76,0.0
2019-12-31,3.95,$-1.18,0.0
2019-09-30,2.71,$-0.61,0.0
2019-06-30,2.89,$0.49,5.88
2019-03-31,2.76,$0.12,22.15
2018-12-31,3.45,$0.39,8.95
2018-09-30,5.05,$0.36,14.07
2018-06-30,5.42,$1.00,5.43
2018-03-31,5.52,$1.49,3.7
2017-12-31,6.65,$1.95,3.41
2017-09-30,5.7,$1.77,3.22
2017-06-30,6.65,$1.22,5.44
2017-03-31,8.1,$0.67,12.06
2016-12-31,7.65,$0.20,37.67
2016-09-30,9.91,$1.81,5.46
2016-06-30,10.0,$1.63,6.14
2016-03-31,9.29,$1.35,6.91
2015-12-31,9.5,$0.37,25.59
2015-09-30,11.29,$-1.95,0.0
2015-06-30,14.9,$-2.59,0.0
2015-03-31,21.79,$-2.04,0.0
2014-12-31,29.15,$-1.19,0.0
2014-09-30,29.92,$0.29,104.1
2014-06-30,31.01,$1.70,18.23
2014-03-31,30.34,$2.04,14.85
2013-12-31,27.9,$0.96,29.06
2013-09-30,18.13,$0.76,23.84
2013-06-30,15.94,$0.89,17.93
2013-03-31,18.14,$0.50,36.21
2012-12-31,15.52,$1.56,9.96
2012-09-30,17.72,$1.36,12.99
2012-06-30,22.37,$0.75,29.74
2012-03-31,18.23,$0.80,22.89
2011-12-31,19.38,$1.21,15.98
2011-09-30,17.67,$1.33,13.3
2011-06-30,15.76,$0.66,23.92
2011-03-31,17.01,$0.83,20.38
2010-12-31,15.72,$0.78,20.2
2010-09-30,11.31,$0.60,18.98
2010-06-30,10.44,$1.45,7.19
2010-03-31,16.27,$2.44,6.68
2009-12-31,13.73,$1.83,7.48
