MSC Industrial Direct Price to Free Cash Flow Ratio Historical Data,MSC Industrial Direct Price to Free Cash Flow Ratio Historical Data,MSC Industrial Direct Price to Free Cash Flow Ratio Historical Data,MSC Industrial Direct Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,78.19,,13.33
2024-11-30,85.88,$5.87,14.64
2024-08-31,81.45,$5.52,14.77
2024-05-31,84.15,$5.93,14.2
2024-02-29,98.02,$6.15,15.95
2023-11-30,93.79,$11.01,8.52
2023-08-31,97.43,$10.80,9.02
2023-05-31,85.15,$11.09,7.68
2023-02-28,79.3,$9.98,7.94
2022-11-30,79.73,$3.88,20.56
2022-08-31,72.89,$3.74,19.5
2022-05-31,77.37,$2.85,27.16
2022-02-28,69.97,$1.75,40.0
2021-11-30,70.43,$2.10,33.57
2021-08-31,74.7,$3.04,24.55
2021-05-31,83.06,$4.87,17.05
2021-02-28,75.15,$5.71,13.16
2020-11-30,72.04,$6.69,10.77
2020-08-31,54.16,$6.29,8.62
2020-05-31,56.34,$5.47,10.29
2020-02-29,49.58,$5.96,8.32
2019-11-30,54.48,$5.09,10.7
2019-08-31,49.68,$4.98,9.97
2019-05-31,51.37,$4.42,11.63
2019-02-28,60.92,$4.79,12.73
2018-11-30,63.42,$5.10,12.43
2018-08-31,60.75,$5.20,11.69
2018-05-31,64.82,$4.91,13.2
2018-02-28,61.35,$4.05,15.16
2017-11-30,62.79,$3.69,17.04
2017-08-31,47.73,$3.52,13.58
2017-05-31,57.81,$3.15,18.34
2017-02-28,68.93,$3.82,18.03
2016-11-30,60.92,$4.51,13.5
2016-08-31,49.54,$5.13,9.66
2016-05-31,50.53,$5.29,9.56
2016-02-29,46.65,$5.41,8.62
2015-11-30,41.07,$4.24,9.69
2015-08-31,44.75,$3.23,13.87
2015-05-31,45.6,$2.52,18.07
2015-02-28,47.71,$1.71,27.95
2014-11-30,50.5,$2.50,20.18
2014-08-31,56.24,$3.24,17.37
2014-05-31,57.18,$3.59,15.92
2014-02-28,53.47,$4.14,12.92
2013-11-30,47.42,$4.05,11.71
2013-08-31,46.69,$3.75,12.46
2013-05-31,50.59,$4.02,12.57
2013-02-28,52.02,$3.57,14.55
2012-11-30,44.11,$3.52,12.53
2012-08-31,41.9,$2.97,14.1
2012-05-31,43.18,$2.78,15.52
2012-02-29,47.68,$2.77,17.23
2011-11-30,41.6,$2.92,14.24
2011-08-31,36.76,$2.91,12.62
2011-05-31,41.3,$2.49,16.58
2011-02-28,37.43,$1.97,18.99
2010-11-30,35.5,$1.83,19.38
2010-08-31,25.85,$1.90,13.61
2010-05-31,29.88,$2.05,14.55
2010-02-28,26.22,$3.02,8.69
2009-11-30,26.3,$4.88,5.38
