Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.39,,8.83
2024-12-31,88.68,$7.75,11.45
2024-09-30,97.99,$10.33,9.49
2024-06-30,105.04,$9.72,10.8
2024-03-31,105.99,$9.89,10.72
2023-12-31,109.29,$10.51,10.4
2023-09-30,95.16,$10.27,9.27
2023-06-30,106.16,$8.92,11.91
2023-03-31,112.49,$7.88,14.27
2022-12-31,86.41,$7.24,11.94
2022-09-30,80.31,$5.73,14.02
2022-06-30,86.74,$6.06,14.31
2022-03-31,124.11,$6.32,19.63
2021-12-31,143.87,$7.52,19.13
2021-09-30,152.27,$6.79,22.42
2021-06-30,176.64,$6.66,26.54
2021-03-31,168.51,$6.88,24.5
2020-12-31,140.04,$5.32,26.34
2020-09-30,132.8,$4.80,27.68
2020-06-30,116.29,$6.01,19.36
2020-03-31,80.99,$5.57,14.55
2019-12-31,109.12,$4.87,22.42
2019-09-30,71.22,$5.55,12.83
2019-06-30,69.03,$4.18,16.51
2019-03-31,73.27,$3.85,19.01
2018-12-31,59.19,$5.14,11.51
2018-09-30,79.69,$4.58,17.42
2018-06-30,84.57,$5.84,14.48
2018-03-31,87.45,$6.53,13.38
2017-12-31,82.57,$5.59,14.77
2017-09-30,88.35,$6.18,14.31
2017-06-30,82.93,$6.59,12.59
2017-03-31,84.46,$5.96,14.18
2016-12-31,64.16,$5.64,11.38
2016-09-30,65.19,$4.62,14.1
2016-06-30,53.95,$2.86,18.86
2016-03-31,66.15,$2.99,22.14
2015-12-31,64.95,$2.73,23.81
2015-09-30,70.83,$2.89,24.53
2015-06-30,87.45,$3.08,28.41
2015-03-31,82.46,$3.17,26.02
2014-12-31,60.9,$3.71,16.43
2014-09-30,48.52,$2.93,16.58
2014-06-30,39.17,$2.92,13.4
2014-03-31,31.21,$2.42,12.88
2013-12-31,23.76,$2.08,11.44
2013-09-30,20.66,$1.96,10.57
2013-06-30,18.21,$1.45,12.57
2013-03-31,18.32,$1.32,13.9
2012-12-31,16.89,$1.25,13.53
2012-09-30,19.6,$1.00,19.67
2012-06-30,22.73,$1.46,15.59
2012-03-31,23.0,$1.76,13.06
2011-12-31,13.49,$1.60,8.46
2011-09-30,14.94,$1.39,10.74
2011-06-30,19.12,$1.07,17.91
2011-03-31,26.95,$0.78,34.55
2010-12-31,23.82,$0.69,34.6
2010-09-30,17.19,$0.73,23.44
2010-06-30,13.97,$0.85,16.5
2010-03-31,12.98,$1.00,12.95
2009-12-31,11.8,$1.27,9.28
