C4 Therapeutics Price to Free Cash Flow Ratio Historical Data,C4 Therapeutics Price to Free Cash Flow Ratio Historical Data,C4 Therapeutics Price to Free Cash Flow Ratio Historical Data,C4 Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.19,,0.0
2024-12-31,3.6,$-0.94,0.0
2024-09-30,5.7,$-1.15,0.0
2024-06-30,4.62,$-1.44,0.0
2024-03-31,8.17,$-1.76,0.0
2023-12-31,5.65,$-2.19,0.0
2023-09-30,1.86,$-2.34,0.0
2023-06-30,2.75,$-2.35,0.0
2023-03-31,3.14,$-2.42,0.0
2022-12-31,5.9,$-2.28,0.0
2022-09-30,8.77,$-2.28,0.0
2022-06-30,7.54,$-1.92,0.0
2022-03-31,24.26,$-1.88,0.0
2021-12-31,32.2,$-1.92,0.0
2021-09-30,44.68,$-7.26,0.0
