Abits Group Price to Free Cash Flow Ratio Historical Data,Abits Group Price to Free Cash Flow Ratio Historical Data,Abits Group Price to Free Cash Flow Ratio Historical Data,Abits Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.79,,0.0
2021-12-31,2.86,$-0.08,0.0
2021-06-30,22.29,$0.73,30.4
2021-03-31,4.53,$0.24,18.8
2020-12-31,1.38,$-0.08,0.0
2020-09-30,1.35,$-0.34,0.0
2020-06-30,0.82,$-1.77,0.0
2020-03-31,0.75,$-1.35,0.0
2019-12-31,2.11,$-0.34,0.0
2019-09-30,1.81,$0.00,0.0
2019-06-30,2.34,$0.99,2.36
2019-03-31,4.25,$0.55,7.66
2018-12-31,1.71,$0.00,0.0
2018-09-30,4.1,$-1.48,0.0
2018-06-30,9.8,$4.89,2.0
2018-03-31,15.25,$3.85,3.96
2017-12-31,19.25,$-1.48,0.0
2017-09-30,13.4,$-3.52,0.0
