GigaCloud Technology Price to Free Cash Flow Ratio Historical Data,GigaCloud Technology Price to Free Cash Flow Ratio Historical Data,GigaCloud Technology Price to Free Cash Flow Ratio Historical Data,GigaCloud Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.86,,4.23
2024-12-31,18.52,$3.51,5.28
2024-09-30,22.98,$3.03,7.58
2024-06-30,30.42,$2.85,10.67
2024-03-31,26.72,$2.98,8.96
2023-12-31,18.3,$3.17,5.78
2023-09-30,8.81,$2.39,3.69
2023-06-30,6.76,$2.14,3.15
