Sigma Lithium Price to Free Cash Flow Ratio Historical Data,Sigma Lithium Price to Free Cash Flow Ratio Historical Data,Sigma Lithium Price to Free Cash Flow Ratio Historical Data,Sigma Lithium Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.63,,148.91
2024-09-30,12.36,$0.08,158.26
2024-06-30,12.03,$-0.38,0.0
2024-03-31,12.96,$-0.38,0.0
2023-12-31,31.53,$-0.69,0.0
2023-09-30,32.44,$-1.41,0.0
2023-06-30,40.3,$-1.57,0.0
2023-03-31,37.62,$-1.36,0.0
2022-12-31,28.22,$-1.01,0.0
2022-09-30,27.19,$-0.69,0.0
